_issn_norm,_journal_label,_publisher,apc,papers,uncovered_total,waived,within_cap
25730142,Proc ACM Hum Comput Interact,Association for Computing Machinery (ACM),350.0,7,2450.0,False,False
25789430,MicroPubl Biol,Caltech Library,350.0,6,2100.0,False,False
21688184,Cureus,Springer Nature,590.0,7,4130.0,False,False
26660849,JACC Case Rep,Elsevier,850.0,4,3400.0,False,False
15221598,J Neurophysiol,American Physiological Society,995.0,21,20895.0,False,False
15221539,Am J Physiol Heart Circ Physiol,American Physiological Society,995.0,10,9950.0,False,False
15221563,Am J Physiol Cell Physiol,American Physiological Society,995.0,5,4975.0,False,False
26334895,Implement Res Pract,SAGE Publications,1000.0,5,5000.0,False,False
17470161,Res Ethics,SAGE Publications,1000.0,2,2000.0,False,False
23968923,Biol Methods Protoc,Oxford University Press (OUP),1120.0,1,1120.0,False,False
23318325,Bio Protoc,Bio-Protocol,1200.0,8,9600.0,False,False
15308898,J Cogn Neurosci,MIT Press,1250.0,7,8750.0,False,False
22150161,MethodsX,Elsevier,1260.0,1,1260.0,False,False
19384114,J Stud Alcohol Drugs,Alcohol Research Documentation,1275.0,4,5100.0,False,False
27314251,Npj Ment Health Res,Springer Nature,1390.0,3,4170.0,False,False
23069740,Mhealth,AME Publishing Company,1390.0,1,1390.0,False,False
2576098X,Microbiol Resour Announc,American Society for Microbiology,1400.0,5,7000.0,False,False
2398502X,Wellcome Open Res,Taylor & Francis,1408.0,2,2816.0,False,False
26911191,JASA Express Lett,Acoustical Society of America (ASA),1450.0,4,5800.0,False,False
27536130,Glob Adv Integr Med Health,SAGE Publications,1500.0,2,3000.0,False,False
26665603,SSM Ment Health,Elsevier,1540.0,1,1540.0,False,False
26661667,STAR Protoc,Elsevier,1550.0,23,35650.0,False,False
10985514,J Virol,American Society for Microbiology,1580.0,24,37920.0,False,False
24519936,Am J Ophthalmol Case Rep,Elsevier,1590.0,1,1590.0,False,False
28376056,Imaging Neurosci (Camb),MIT Press,1600.0,5,8000.0,False,False
29949726,O G Open,Wolters Kluwer,1600.0,1,1600.0,False,False
26659131,Osteoarthr Cartil Open,Elsevier,1610.0,1,1610.0,False,False
20461402,F1000Res,Taylor & Francis,1643.0,1,1643.0,False,False
23120541,ERJ Open Res,European Respiratory Society (ERS),1659.0,3,4977.0,False,False
