_publisher,papers,unique_journals,total_uncovered_usd,within_cap_papers,abovecap_papers,waived_papers
Elsevier,2738,428,7110558.0,49,2689,0
Springer Nature,1896,256,5312739.0,681,1215,661
Wolters Kluwer,940,73,2301695.0,122,818,100
Oxford University Press (OUP),728,85,1809818.28,5,723,0
American Chemical Society (ACS),310,42,739500.0,13,297,0
American Association for Cancer Research (AACR),125,11,694750.0,0,125,0
Proceedings of the National Academy of Sciences,157,1,627215.0,0,157,0
American Medical Association (AMA),209,11,612000.0,0,209,0
American Society for Clinical Investigation,174,2,591800.0,0,174,0
Frontiers,290,36,537085.5,0,290,0
MDPI,350,42,487625.0,1,349,0
SAGE Publications,234,56,417500.0,12,222,0
American Association for the Advancement of Science (AAAS),95,1,327750.0,0,95,0
Taylor & Francis,166,58,316870.0,3,163,0
Society for Neuroscience,81,2,281370.0,0,81,0
Public Library of Science (PLoS),254,10,212478.0,0,254,0
BMJ,110,21,206359.5,0,110,0
Rockefeller University Press,46,3,160000.0,6,40,0
American Psychological Association (APA),143,25,143000.0,0,143,0
American Society for Microbiology,126,11,142500.0,29,97,0
The Company of Biologists,49,5,140600.0,0,49,0
American Society of Hematology,38,2,133535.0,0,38,0
Mary Ann Liebert,85,16,130900.0,5,80,0
American Society of Clinical Oncology (ASCO),44,5,120432.0,0,44,0
Thieme,80,4,116000.0,0,80,0
eLife,99,1,99000.0,0,99,0
JMIR Publications,135,12,84650.0,36,99,0
The Endocrine Society,43,3,80214.0,0,43,0
Cambridge University Press (CUP),54,6,76350.0,0,54,0
American Academy of Pediatrics (AAP),30,2,75000.0,0,30,0
Cold Spring Harbor Laboratory,30,4,74580.0,0,30,0
Royal Society of Chemistry (RSC),32,15,46321.0,9,23,0
American Society for Cell Biology (ASCB),23,1,45885.0,0,23,0
IOP Publishing,33,5,43370.0,0,33,0
Radiological Society of North America (RSNA),22,4,33000.0,0,22,0
Wiley,1390,205,22990.0,1377,13,1377
The Journal of Rheumatology,11,2,22000.0,0,11,0
Impact Journals,14,2,20700.0,0,14,0
American Diabetes Association,40,2,20000.0,0,40,0
Life Science Alliance,10,1,19750.0,0,10,0
American Academy of Sleep Medicine (AASM),17,1,17000.0,0,17,0
Institute of Electrical and Electronics Engineers (IEEE),32,7,14370.0,0,32,0
Ivyspring International Publisher,9,2,11873.0,0,9,0
Karger Publishers,9,4,11700.0,3,6,0
Bioscientifica,4,1,8252.0,0,4,0
European Respiratory Society (ERS),7,2,8120.0,3,4,0
Journal of Neurosurgery Publishing Group (JNSPG),8,1,8000.0,0,8,0
AIP Publishing,5,2,7950.0,0,5,0
American Physical Society (APS),5,2,6480.0,0,5,0
Ferrata Storti Foundation (Haematologica),4,1,6296.0,0,4,0
Acoustical Society of America (ASA),13,2,5400.0,4,9,0
Optica Publishing Group,16,5,5165.0,0,16,0
International Society of Global Health,3,1,4905.0,0,3,0
American Public Health Association,9,1,4500.0,0,9,0
American Society of Tropical Medicine and Hygiene,4,1,4000.0,0,4,0
Health Affairs,2,1,3700.0,0,2,0
The Royal Society,4,3,3180.0,0,4,0
American Society of Neuroradiology (ASNR),6,1,3000.0,0,6,0
International Union Against Tuberculosis and Lung Disease,1,1,2426.0,0,1,0
ASME International,2,1,2000.0,0,2,0
COPD Foundation,2,1,900.0,0,2,0
MIT Press,20,4,750.0,17,3,0
American Psychiatric Association Publishing,2,1,0.0,2,0,2
American Physiological Society,75,10,0.0,75,0,0
American Board of Family Medicine (ABFM),4,1,0.0,4,0,0
Alcohol Research Documentation,4,1,0.0,4,0,0
AME Publishing Company,7,2,0.0,7,0,0
Annual Reviews,3,1,0.0,3,0,0
Annals of Family Medicine,2,1,0.0,2,0,0
Centers for Disease Control and Prevention (CDC),4,2,0.0,4,0,0
International Union of Crystallography (IUCr),6,2,0.0,6,0,6
"Clinical Care Targeted Communications Group, LLC",2,1,0.0,2,0,0
Environmental Health Perspectives,6,1,0.0,6,0,0
American Thoracic Society,73,3,0.0,73,0,0
Bio-Protocol,8,1,0.0,8,0,0
Association for Research in Vision and Ophthalmology (ARVO),30,2,0.0,30,0,0
Caltech Library,6,1,0.0,6,0,0
American Speech Language Hearing Association,47,2,0.0,47,0,0
Association for Computing Machinery (ACM),7,1,0.0,7,0,0
Portland Press,10,3,0.0,10,0,0
PeerJ,1,1,0.0,1,0,0
MyJove,13,1,0.0,13,0,0
Radiation Research Society,2,1,0.0,2,0,0
"SPIE, the international society for optics and photonics",8,2,0.0,8,0,0
Ubiquity Press,3,1,0.0,3,0,0
Unknown,272,164,0.0,272,0,272
