_issn_norm,_journal_label,_publisher,apc,papers,uncovered_total,within_cap
21567085,Biomed Opt Express,Optica Publishing Group,2005.0,10,50.0,False
2051817X,Physiol Rep,Wiley,2050.0,6,300.0,False
25155091,JNCI Cancer Spectr,Oxford University Press (OUP),2050.0,2,100.0,False
26325012,Sleep Adv,Oxford University Press (OUP),2054.0,1,54.0,False
24725560,SLAS Discov,Elsevier,2070.0,1,70.0,False
15580210,IEEE Trans Neural Syst Rehabil Eng,Institute of Electrical and Electronics Engineers (IEEE),2075.0,7,525.0,False
21693536,IEEE Access,Institute of Electrical and Electronics Engineers (IEEE),2075.0,1,75.0,False
23796146,Learn Health Syst,Wiley,2080.0,5,400.0,False
10986596,Antimicrob Agents Chemother,American Society for Microbiology,2100.0,20,2000.0,False
10985530,J Bacteriol,American Society for Microbiology,2100.0,15,1500.0,False
10985522,Infect Immun,American Society for Microbiology,2100.0,9,900.0,False
1098660X,J Clin Microbiol,American Society for Microbiology,2100.0,8,800.0,False
15365964,Medicine (Baltimore),Wolters Kluwer,2100.0,4,400.0,False
23259582,J Int Assoc Provid AIDS Care,SAGE Publications,2100.0,4,400.0,False
26913593,Ann Surg Open,Wolters Kluwer,2100.0,3,300.0,False
10985336,Appl Environ Microbiol,American Society for Microbiology,2100.0,1,100.0,False
27727246,Drug Alcohol Depend Rep,Elsevier,2120.0,1,120.0,False
15328511,J Stroke Cerebrovasc Dis,Elsevier,2170.0,26,4420.0,False
27313395,Commun Eng,Springer Nature,2190.0,1,190.0,False
20466390,Biol Open,The Company of Biologists,2200.0,6,1200.0,False
2452199X,Bioact Mater,Elsevier,2200.0,6,1200.0,False
22115463,FEBS Open Bio,Wiley,2210.0,1,210.0,False
24750379,Res Pract Thromb Haemost,Elsevier,2250.0,5,1250.0,False
24721751,Netw Neurosci,MIT Press,2250.0,2,500.0,False
20358385,Neurol Int,MDPI,2250.0,1,250.0,False
26622211,Implement Sci Commun,Springer Nature,2290.0,14,4060.0,False
20550928,BMC Nutr,Springer Nature,2290.0,2,580.0,False
21971714,Inj Epidemiol,Springer Nature,2290.0,1,290.0,False
23738731,Transplant Direct,Wolters Kluwer,2300.0,6,1800.0,False
22919694,JMIR Med Inform,JMIR Publications,2300.0,2,600.0,False
20458932,Pulm Circ,Wiley,2310.0,4,1240.0,False
24518654,Contemp Clin Trials Commun,Elsevier,2320.0,6,1920.0,False
18767753,Stem Cell Res,Elsevier,2360.0,2,720.0,False
19326203,PLoS One,Public Library of Science (PLoS),2382.0,152,58064.0,False
26670747,Biophys Rep (N Y),Elsevier,2400.0,1,400.0,False
23996641,BMJ Open Qual,BMJ,2429.0,3,1287.0,False
29961394,JCSM Commun,Wiley,2430.0,2,860.0,False
26662736,JTCVS Open,Elsevier,2431.0,1,431.0,False
15394794,Opt Lett,Optica Publishing Group,2440.0,5,2200.0,False
10944087,Opt Express,Optica Publishing Group,2440.0,2,880.0,False
15208532,J Opt Soc Am A Opt Image Sci Vis,Optica Publishing Group,2440.0,1,440.0,False
2372952X,Chronic Obstr Pulm Dis,COPD Foundation,2450.0,1,450.0,False
20585888,Environ Epigenet,Oxford University Press (OUP),2471.0,1,471.0,False
26878941,JCO Glob Oncol,American Society of Clinical Oncology (ASCO),2472.0,4,1888.0,False
25729241,Hemasphere,Wiley,2480.0,1,480.0,False
20524463,Sci Data,Springer Nature,2490.0,3,1470.0,False
20555784,Pilot Feasibility Stud,Springer Nature,2490.0,2,980.0,False
27673375,PLOS Glob Public Health,Public Library of Science (PLoS),2496.0,6,2976.0,False
28378156,PLOS Ment Health,Public Library of Science (PLoS),2496.0,2,992.0,False
2561326X,JMIR Form Res,JMIR Publications,2500.0,42,21000.0,False
19355548,Diabetes Care,American Diabetes Association,2500.0,22,11000.0,False
1939327X,Diabetes,American Diabetes Association,2500.0,11,5500.0,False
15410048,Am J Public Health,American Public Health Association,2500.0,7,3500.0,False
1936959X,AJNR Am J Neuroradiol,American Society of Neuroradiology (ASNR),2500.0,5,2500.0,False
26669145,Ophthalmol Sci,Elsevier,2500.0,5,2500.0,False
25901095,Arch Rehabil Res Clin Transl,Elsevier,2500.0,2,1000.0,False
24521094,Adv Radiat Oncol,Elsevier,2500.0,1,500.0,False
26884844,Womens Health Rep (New Rochelle),Mary Ann Liebert,2500.0,1,500.0,False
29497884,CHEST Crit Care,Elsevier,2500.0,1,500.0,False
23528737,Alzheimers Dement (N Y),Wiley,2540.0,24,12960.0,False
23528729,Alzheimers Dement (Amst),Wiley,2540.0,18,9720.0,False
27679764,Cancer Res Commun,American Association for Cancer Research (AACR),2550.0,7,3850.0,False
10958541,J Theor Biol,Elsevier,2550.0,2,1100.0,False
20457758,Ecol Evol,Wiley,2570.0,1,570.0,False
25900595,Kidney Med,Elsevier,2590.0,7,4130.0,False
15208524,J Acoust Soc Am,Acoustical Society of America (ASA),2600.0,2,1200.0,False
17582652,J Int AIDS Soc,Wiley,2600.0,2,1200.0,False
22113355,Prev Med Rep,Elsevier,2610.0,3,1830.0,False
26322498,Neurooncol Adv,Oxford University Press (OUP),2615.0,13,7995.0,False
23102861,Gels,MDPI,2625.0,1,625.0,False
19491042,Nucleus,Taylor & Francis,2630.0,2,1260.0,False
17590914,ASN Neuro,Taylor & Francis,2630.0,1,630.0,False
1558254X,IEEE Trans Med Imaging,Institute of Electrical and Electronics Engineers (IEEE),2645.0,12,7740.0,False
15582531,IEEE Trans Biomed Eng,Institute of Electrical and Electronics Engineers (IEEE),2645.0,7,4515.0,False
21682208,IEEE J Biomed Health Inform,Institute of Electrical and Electronics Engineers (IEEE),2645.0,6,3870.0,False
19409990,IEEE Trans Biomed Circuits Syst,Institute of Electrical and Electronics Engineers (IEEE),2645.0,1,645.0,False
19352735,PLoS Negl Trop Dis,Public Library of Science (PLoS),2670.0,2,1340.0,False
20452322,Sci Rep,Springer Nature,2690.0,173,119370.0,False
20567936,NPJ Sci Learn,Springer Nature,2690.0,5,3450.0,False
17560381,BioData Min,Springer Nature,2690.0,1,690.0,False
20587716,Cell Death Discov,Springer Nature,2690.0,1,690.0,False
29500044,J Mood Anxiety Disord,Elsevier,2700.0,1,700.0,False
26929384,JCPP Adv,Wiley,2705.0,3,2115.0,False
17580463,Database (Oxford),Oxford University Press (OUP),2729.0,6,4374.0,False
25901125,Clin Park Relat Disord,Elsevier,2730.0,1,730.0,False
23687959,JMIR Ment Health,JMIR Publications,2750.0,12,9000.0,False
20763425,Brain Sci,MDPI,2750.0,8,6000.0,False
20760817,Pathogens,MDPI,2750.0,6,4500.0,False
14673045,Curr Issues Mol Biol,MDPI,2750.0,1,750.0,False
24054577,Clin Nutr ESPEN,Elsevier,2750.0,1,750.0,False
26319268,NAR Genom Bioinform,Oxford University Press (OUP),2766.0,4,3064.0,False
26884526,BJUI Compass,Wiley,2770.0,1,770.0,False
16180631,Pathol Res Pract,Elsevier,2780.0,1,780.0,False
23975776,Trauma Surg Acute Care Open,BMJ,2785.0,1,785.0,False
17456215,Trials,Springer Nature,2790.0,19,15010.0,False
14712296,BMC Fam Pract,Springer Nature,2790.0,2,1580.0,False
21601836,G3 (Bethesda),Oxford University Press (OUP),2790.0,2,1580.0,False
27314553,BMC Prim Care,Springer Nature,2790.0,1,790.0,False
2948197X,Npj Imaging,Springer Nature,2790.0,1,790.0,False
14712954,Proc Biol Sci,The Royal Society,2795.0,1,795.0,False
14712970,Philos Trans R Soc Lond B Biol Sci,The Royal Society,2795.0,1,795.0,False
15252191,Am J Pathol,Elsevier,2800.0,21,16800.0,False
15276473,Liver Transpl,Wolters Kluwer,2800.0,10,8000.0,False
21501327,J Prim Care Community Health,SAGE Publications,2800.0,10,8000.0,False
24680249,Kidney Int Rep,Elsevier,2800.0,9,7200.0,False
1877718X,J Parkinsons Dis,SAGE Publications,2800.0,7,5600.0,False
25424823,J Alzheimers Dis Rep,SAGE Publications,2800.0,5,4000.0,False
20552076,Digit Health,SAGE Publications,2800.0,2,1600.0,False
15262359,Cancer Control,SAGE Publications,2800.0,1,800.0,False
15470164,Subst Abus,SAGE Publications,2800.0,1,800.0,False
15553892,Cell Transplant,SAGE Publications,2800.0,1,800.0,False
15579891,Am J Mens Health,SAGE Publications,2800.0,1,800.0,False
20477163,Sci Prog,SAGE Publications,2800.0,1,800.0,False
20499361,Ther Adv Infect Dis,SAGE Publications,2800.0,1,800.0,False
29768357,Subst Use,SAGE Publications,2800.0,1,800.0,False
26666022,Am Heart J Plus,Elsevier,2810.0,3,2430.0,False
26330679,RSC Chem Biol,Royal Society of Chemistry (RSC),2847.0,1,847.0,False
17596653,Genome Biol Evol,Oxford University Press (OUP),2850.0,4,3400.0,False
14661268,Cell Stress Chaperones,Elsevier,2850.0,3,2550.0,False
22601341,J Frailty Aging,Elsevier,2850.0,2,1700.0,False
26886146,EJHaem,Wiley,2860.0,1,860.0,False
18726844,Epilepsy Res,Elsevier,2880.0,1,880.0,False
24734039,JBMR Plus,Oxford University Press (OUP),2888.0,2,1776.0,False
26663546,Brain Behav Immun Health,Elsevier,2890.0,10,8900.0,False
19400640,Addict Sci Clin Pract,Springer Nature,2890.0,5,4450.0,False
14726874,BMC Womens Health,Springer Nature,2890.0,1,890.0,False
14752875,Malar J,Springer Nature,2890.0,1,890.0,False
20453701,Cell Biosci,Springer Nature,2890.0,1,890.0,False
23806761,Bioeng Transl Med,Wiley,2890.0,1,890.0,False
2471254X,Hepatol Commun,Wolters Kluwer,2900.0,10,9000.0,False
23788038,Laryngoscope Investig Otolaryngol,Wiley,2900.0,5,4500.0,False
18783511,Int J Infect Dis,Elsevier,2900.0,1,900.0,False
23528273,SSM Popul Health,Elsevier,2930.0,1,930.0,False
2772963X,JACC Adv,Elsevier,2936.0,8,7488.0,False
18734332,J Pediatr Adolesc Gynecol,Elsevier,2950.0,1,950.0,False
21576580,Stem Cells Transl Med,Oxford University Press (OUP),2963.0,3,2889.0,False
15322688,Seizure,Elsevier,2970.0,3,2910.0,False
18727905,J Immunol Methods,Elsevier,2970.0,1,970.0,False
18791271,"Clin Biomech (Bristol, Avon)",Elsevier,2980.0,2,1960.0,False
14726947,BMC Med Inform Decis Mak,Springer Nature,2990.0,16,15840.0,False
14726920,BMC Med Educ,Springer Nature,2990.0,4,3960.0,False
18689884,Sex Res Social Policy,Springer Nature,2990.0,3,2970.0,False
27307174,Res Child Adolesc Psychopathol,Springer Nature,2990.0,3,2970.0,False
11775467,Clin Ophthalmol,Taylor & Francis,2990.0,2,1980.0,False
17501172,Orphanet J Rare Dis,Springer Nature,2990.0,2,1980.0,False
25787470,HIV Res Clin Pract,Taylor & Francis,2990.0,2,1980.0,False
13652060,Ann Med,Taylor & Francis,2990.0,1,990.0,False
17426405,AIDS Res Ther,Springer Nature,2990.0,1,990.0,False
2050084X,Elife,eLife,3000.0,121,121000.0,False
23290382,Psychol Sex Orientat Gend Divers,American Psychological Association (APA),3000.0,23,23000.0,False
19392117,J Consult Clin Psychol,American Psychological Association (APA),3000.0,17,17000.0,False
1532429X,J Cardiovasc Magn Reson,Elsevier,3000.0,16,16000.0,False
15509397,J Clin Sleep Med,American Academy of Sleep Medicine (AASM),3000.0,13,13000.0,False
19391315,J Pers Soc Psychol,American Psychological Association (APA),3000.0,13,13000.0,False
19391498,Psychol Aging,American Psychological Association (APA),3000.0,12,12000.0,False
15420086,Biophys J,Elsevier,3000.0,11,11000.0,False
2769755X,J Psychopathol Clin Sci,American Psychological Association (APA),3000.0,11,11000.0,False
19330693,J Neurosurg,Journal of Neurosurgery Publishing Group (JNSPG),3000.0,9,9000.0,False
19390602,Fam Syst Health,American Psychological Association (APA),3000.0,8,8000.0,False
1939134X,Psychol Assess,American Psychological Association (APA),3000.0,8,8000.0,False
19307810,Health Psychol,American Psychological Association (APA),3000.0,7,7000.0,False
14761645,Am J Trop Med Hyg,American Society of Tropical Medicine and Hygiene,3000.0,6,6000.0,False
1935990X,Am Psychol,American Psychological Association (APA),3000.0,6,6000.0,False
23527226,Sleep Health,Elsevier,3000.0,5,5000.0,False
10999809,Cultur Divers Ethnic Minor Psychol,American Psychological Association (APA),3000.0,4,4000.0,False
15288951,J Biomech Eng,ASME International,3000.0,4,4000.0,False
19311559,Neuropsychology,American Psychological Association (APA),3000.0,4,4000.0,False
19390084,Behav Neurosci,American Psychological Association (APA),3000.0,4,4000.0,False
19391293,J Fam Psychol,American Psychological Association (APA),3000.0,4,4000.0,False
19391501,Psychol Addict Behav,American Psychological Association (APA),3000.0,4,4000.0,False
23766972,Stigma Health,American Psychological Association (APA),3000.0,4,4000.0,False
19390025,Am J Orthopsychiatry,American Psychological Association (APA),3000.0,3,3000.0,False
19391463,Psychol Methods,American Psychological Association (APA),3000.0,3,3000.0,False
19392222,J Exp Psychol Gen,American Psychological Association (APA),3000.0,3,3000.0,False
21520828,Psychol Violence,American Psychological Association (APA),3000.0,3,3000.0,False
00220167,J Couns Psychol,American Psychological Association (APA),3000.0,2,2000.0,False
19311516,Emotion,American Psychological Association (APA),3000.0,2,2000.0,False
19362293,Exp Clin Psychopharmacol,American Psychological Association (APA),3000.0,2,2000.0,False
19391471,Psychol Rev,American Psychological Association (APA),3000.0,2,2000.0,False
2379139X,Tomography,MDPI,3000.0,2,2000.0,False
15903729,Nutr Metab Cardiovasc Dis,Elsevier,3000.0,1,1000.0,False
19437811,J Mol Diagn,Elsevier,3000.0,1,1000.0,False
21694826,Clin Pract Pediatr Psychol,SAGE Publications,3000.0,1,1000.0,False
22279067,Children (Basel),MDPI,3000.0,1,1000.0,False
24712531,Pain Rep,Wolters Kluwer,3000.0,1,1000.0,False
20446055,BMJ Open,BMJ,3025.75,34,34875.5,False
15537374,PLoS Pathog,Public Library of Science (PLoS),3043.0,26,27118.0,False
15537404,PLoS Genet,Public Library of Science (PLoS),3043.0,24,25032.0,False
15537358,PLoS Comput Biol,Public Library of Science (PLoS),3043.0,18,18774.0,False
27673170,PLOS Digit Health,Public Library of Science (PLoS),3043.0,1,1043.0,False
15255069,Epilepsy Behav,Elsevier,3060.0,3,3180.0,False
18790534,Comput Biol Med,Elsevier,3080.0,1,1080.0,False
15732800,Arch Sex Behav,Springer Nature,3090.0,33,35970.0,False
14712334,BMC Infect Dis,Springer Nature,3090.0,9,9810.0,False
17501326,Mol Neurodegener,Springer Nature,3090.0,9,9810.0,False
14712288,BMC Med Res Methodol,Springer Nature,3090.0,4,4360.0,False
14712164,BMC Genomics,Springer Nature,3090.0,3,3270.0,False
14712474,BMC Musculoskelet Disord,Springer Nature,3090.0,3,3270.0,False
10970355,Infant Ment Health J,Wiley,3090.0,2,2180.0,False
14712377,BMC Neurol,Springer Nature,3090.0,2,2180.0,False
2662205X,Affect Sci,Springer Nature,3090.0,2,2180.0,False
14712261,BMC Cardiovasc Disord,Springer Nature,3090.0,1,1090.0,False
14712369,BMC Nephrol,Springer Nature,3090.0,1,1090.0,False
14712431,BMC Pediatr,Springer Nature,3090.0,1,1090.0,False
15229602,Bull Math Biol,Springer Nature,3090.0,1,1090.0,False
15460096,Pediatr Rheumatol Online J,Springer Nature,3090.0,1,1090.0,False
