_publisher,papers,unique_journals,total_uncovered_usd,within_cap_papers,abovecap_papers,waived_papers
Springer Nature,1896,256,2155260.0,1352,544,661
Elsevier,2738,428,929922.0,2366,372,0
American Association for Cancer Research (AACR),125,11,226000.0,19,106,0
Society for Neuroscience,81,2,15120.0,25,56,0
American Society of Hematology,38,2,10200.0,21,17,0
BMJ,110,21,7625.0,105,5,0
Public Library of Science (PLoS),254,10,2760.0,248,6,0
Oxford University Press (OUP),728,85,1569.6000000000022,716,12,0
American Academy of Pediatrics (AAP),30,2,0.0,30,0,0
American Board of Family Medicine (ABFM),4,1,0.0,4,0,0
American Chemical Society (ACS),310,42,0.0,310,0,0
American Diabetes Association,40,2,0.0,40,0,0
American Medical Association (AMA),209,11,0.0,209,0,0
American Physical Society (APS),5,2,0.0,5,0,0
American Physiological Society,75,10,0.0,75,0,0
American Academy of Sleep Medicine (AASM),17,1,0.0,17,0,0
American Association for the Advancement of Science (AAAS),95,1,0.0,95,0,0
AIP Publishing,5,2,0.0,5,0,0
ASME International,2,1,0.0,2,0,0
Acoustical Society of America (ASA),13,2,0.0,13,0,0
Alcohol Research Documentation,4,1,0.0,4,0,0
AME Publishing Company,7,2,0.0,7,0,0
American Society of Clinical Oncology (ASCO),44,5,0.0,44,0,0
American Society for Microbiology,126,11,0.0,126,0,0
American Society for Clinical Investigation,174,2,0.0,174,0,0
American Society for Cell Biology (ASCB),23,1,0.0,23,0,0
American Public Health Association,9,1,0.0,9,0,0
American Psychological Association (APA),143,25,0.0,143,0,0
American Psychiatric Association Publishing,2,1,0.0,2,0,2
American Society of Tropical Medicine and Hygiene,4,1,0.0,4,0,0
Association for Computing Machinery (ACM),7,1,0.0,7,0,0
Association for Research in Vision and Ophthalmology (ARVO),30,2,0.0,30,0,0
Bio-Protocol,8,1,0.0,8,0,0
Bioscientifica,4,1,0.0,4,0,0
American Thoracic Society,73,3,0.0,73,0,0
Annals of Family Medicine,2,1,0.0,2,0,0
Annual Reviews,3,1,0.0,3,0,0
American Society of Neuroradiology (ASNR),6,1,0.0,6,0,0
Centers for Disease Control and Prevention (CDC),4,2,0.0,4,0,0
"Clinical Care Targeted Communications Group, LLC",2,1,0.0,2,0,0
Cold Spring Harbor Laboratory,30,4,0.0,30,0,0
Environmental Health Perspectives,6,1,0.0,6,0,0
European Respiratory Society (ERS),7,2,0.0,7,0,0
Ferrata Storti Foundation (Haematologica),4,1,0.0,4,0,0
Frontiers,290,36,0.0,290,0,0
Health Affairs,2,1,0.0,2,0,0
IOP Publishing,33,5,0.0,33,0,0
Impact Journals,14,2,0.0,14,0,0
Institute of Electrical and Electronics Engineers (IEEE),32,7,0.0,32,0,0
International Society of Global Health,3,1,0.0,3,0,0
COPD Foundation,2,1,0.0,2,0,0
Caltech Library,6,1,0.0,6,0,0
Cambridge University Press (CUP),54,6,0.0,54,0,0
American Speech Language Hearing Association,47,2,0.0,47,0,0
JMIR Publications,135,12,0.0,135,0,0
Ivyspring International Publisher,9,2,0.0,9,0,0
International Union of Crystallography (IUCr),6,2,0.0,6,0,6
International Union Against Tuberculosis and Lung Disease,1,1,0.0,1,0,0
MIT Press,20,4,0.0,20,0,0
Mary Ann Liebert,85,16,0.0,85,0,0
Journal of Neurosurgery Publishing Group (JNSPG),8,1,0.0,8,0,0
Karger Publishers,9,4,0.0,9,0,0
Optica Publishing Group,16,5,0.0,16,0,0
MyJove,13,1,0.0,13,0,0
Portland Press,10,3,0.0,10,0,0
PeerJ,1,1,0.0,1,0,0
Proceedings of the National Academy of Sciences,157,1,0.0,157,0,0
Radiation Research Society,2,1,0.0,2,0,0
Life Science Alliance,10,1,0.0,10,0,0
MDPI,350,42,0.0,350,0,0
Rockefeller University Press,46,3,0.0,46,0,0
Radiological Society of North America (RSNA),22,4,0.0,22,0,0
SAGE Publications,234,56,0.0,234,0,0
Royal Society of Chemistry (RSC),32,15,0.0,32,0,0
"SPIE, the international society for optics and photonics",8,2,0.0,8,0,0
Taylor & Francis,166,58,0.0,166,0,0
The Company of Biologists,49,5,0.0,49,0,0
The Endocrine Society,43,3,0.0,43,0,0
The Journal of Rheumatology,11,2,0.0,11,0,0
The Royal Society,4,3,0.0,4,0,0
Thieme,80,4,0.0,80,0,0
Ubiquity Press,3,1,0.0,3,0,0
Unknown,272,164,0.0,272,0,272
Wiley,1390,205,0.0,1390,0,1377
Wolters Kluwer,940,73,0.0,940,0,100
eLife,99,1,0.0,99,0,0
