Core Project Number,Affiliation,Pub Year,Authors,Country,ISSN,Journal Issue,Journal (Link to PubMed abstract),Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central),Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Relative Citation Ratio,Unnamed: 21,_year_int,_issn_norm,APC 2025 (USD),Publisher,Journal
U24LM013751,"Department of Preventive Medicine, Northwestern University Feinberg School of Medicine, Chicago, IL, USA.",2025,"Hosseini, Mohammad; Holcombe, Alex O; Kovacs, Marton; Zwart, Hub; Katz, Daniel S; Holmes, Kristi",United States,1545-5815,5,<a href='https://pubmed.ncbi.nlm.nih.gov/38445637'>Accountability in research</a>,Account Res,32,eng,762-784,11377859,38445637,2025 Jul,"Group authorship, an excellent opportunity laced with ethical, legal and technical challenges.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38445637&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11377859/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38445637'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11377859/'>Cited By, Google</a>",,PMID(38445637) OR  ,2025,15455815,,,
T32EB025766,"Department of Physical Therapy and Human Movement Sciences, Feinberg School of Medicine, Northwestern University, Chicago, IL, USA 60611.",2025,"Hemmerling, Kimberly J; Hoggarth, Mark A; Sandhu, Milap S; Parrish, Todd B; Bright, Molly G",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/38464194'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,10925078,38464194,2025 May 26,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10925078'>MRI mapping of hemodynamics in the human spinal cord.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38464194&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10925078/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38464194'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10925078/'>Cited By, Google</a>", ,PMID(38464194) OR  ,2025,26928205,,,
P30AG013854,"Department of Neurology, University of Texas Health Science Center at San Antonio, San Antonio, TX, USA.",2025,"Hromas, Gabrielle; Rolin, Summer; Davis, Jeremy J",United States,2327-9109,1,<a href='https://pubmed.ncbi.nlm.nih.gov/36416227'>Applied neuropsychology. Adult</a>,Appl Neuropsychol Adult,32,eng,28-36,10203055,36416227,2025,Racial differences in positive findings on embedded performance validity tests.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36416227&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10203055/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36416227'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10203055/'>Cited By, Google</a>", ,PMID(36416227) OR  ,2025,23279109,,,
T32EB025766,"Department of Physical Therapy and Human Movement Sciences, Feinberg School of Medicine, Northwestern University, Chicago, IL, USA.",2025,"Hemmerling, Kimberly J; Vigotsky, Andrew D; Glanville, Charlotte; Barry, Robert L; Bright, Molly G",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39896462'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11785179,39896462,2025 Jan 23,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11785179'>Data-driven denoising in spinal cord fMRI with principal component analysis.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39896462&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11785179/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39896462'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11785179/'>Cited By, Google</a>", ,PMID(39896462) OR  ,2025,26928205,,,
F31NS126012,"Department of Physical Therapy and Human Movement Sciences, Feinberg School of Medicine, Northwestern University, Chicago, IL, USA.",2025,"Hemmerling, Kimberly J; Vigotsky, Andrew D; Glanville, Charlotte; Barry, Robert L; Bright, Molly G",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39896462'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11785179,39896462,2025 Jan 23,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11785179'>Data-driven denoising in spinal cord fMRI with principal component analysis.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39896462&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11785179/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39896462'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11785179/'>Cited By, Google</a>", ,PMID(39896462) OR  ,2025,26928205,,,
R01NS112363,"Department of Molecular Biosciences, Northwestern University, Evanston, IL, USA.",2025,"Kumar, Sushant; Jin, Fei; Park, Sung Jin; Choi, Wooyoung; Keuning, Sarah I; Massimino, Richard P; Vu, Simon; LÃ¼, Wei; Du, Juan",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39896661'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11785169,39896661,2025 Jan 24,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11785169'>Convergent Agonist and Heat Activation of Nociceptor TRPM3.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39896661&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11785169/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39896661'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11785169/'>Cited By, Google</a>", ,PMID(39896661) OR  ,2025,26928205,,,
U54EB027049,M Biomedical LLC McCormick SC 29835 USA.,2025,"Downing, Maren; Broach, John; Lam, Wilbur; Manabe, Yukari C; Martin, Greg; McManus, David; Murphy, Robert; Soni, Apurv; Schachter, Steven",United States,2644-1276, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39906263'>IEEE open journal of engineering in medicine and biology</a>,IEEE Open J Eng Med Biol,6,eng,237-240,11793479,39906263,2025,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11793479'>The Shift to Over-the-Counter Diagnostic Testing After RADx: Clinical, Regulatory, and Societal Implications.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39906263&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11793479/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39906263'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11793479/'>Cited By, Google</a>", ,PMID(39906263) OR  ,2025,26441276,,,
P30AG072977, ,2025,"Wood, Kathryn A; Ko, Yi-An; Han, Feier; Thunell, Johanna; Zissimopoulos, Julie; Wharton, Whitney",United States,1550-5049,5,<a href='https://pubmed.ncbi.nlm.nih.gov/39737787'>The Journal of cardiovascular nursing</a>,J Cardiovasc Nurs,40,eng,452-460,12206932,39737787,2025 Sep-Oct 01,Warfarin Versus Non-Vitamin K Inhibitors Medications and Cognitive Disease Progression in Atrial Fibrillation.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39737787&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12206932/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39737787'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12206932/'>Cited By, Google</a>", ,PMID(39737787) OR  ,2025,15505049,,,
K99AI183290,"Departments of Molecular Biosciences, Chemistry and Chemical and Biological Engineering and the Feinberg School of Medicine, Northwestern University, Evanston, IL, USA.",2025,"Su, Pei; McGee, John P; Hollas, Michael A R; Fellers, Ryan T; Durbin, Kenneth R; Greer, Joseph B; Early, Bryan P; Yip, Ping F; Zabrouskov, Vlad; SrzentiÄ‡, Kristina; Senko, Michael W; Compton, Philip D; Kelleher, Neil L; Kafader, Jared O",England,1750-2799,6,<a href='https://pubmed.ncbi.nlm.nih.gov/39747675'>Nature protocols</a>,Nat Protoc,20,eng,1485-1508,12151780,39747675,2025 Jun,Standardized workflow for multiplexed charge detection mass spectrometry on orbitrap analyzers.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39747675&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12151780/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39747675'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12151780/'>Cited By, Google</a>", ,PMID(39747675) OR  ,2025,17502799,,,
R01HL122477,"Longitudinal Studies Section, Translational Gerontology Branch, NIH, NIA, 251 Bayview Boulevard, Baltimore MD, 21224, USA.",2025,"Tanaka, Toshiko; Rosano, Caterina; Huang, Xiaoning; Tian, Qu; Landman, Bennett A; Moore, Ann Z; Miljkovic, Iva; Perry, Andrew; Khan, Sadiya; Kalhan, Ravi; Carr, John Jeffrey; Terry, James G; Yaffe, Kristine; Walker, Keenan; Candia, JuliÃ¡n; Ferrucci, Luigi",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/39974123'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,11838923,39974123,2025 Jan 27,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11838923'>Plasma proteomic analysis of intermuscular fat links muscle integrity with processing speed in older adults.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39974123&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11838923/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39974123'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11838923/'>Cited By, Google</a>", ,PMID(39974123) OR  ,2025,,,,
