Core Project Number,Affiliation,Pub Year,Authors,Country,ISSN,Journal Issue,Journal (Link to PubMed abstract),Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central),Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Relative Citation Ratio,_pmid_norm,_year_int,_issn_norm,_title_norm,APC 2025 (USD),Publisher,Journal,_journal_label,_publisher,apc_original,_waived_by_issn,_waived_by_title,_is_waived,apc_effective
P30AG013854,"Department of Neurology, University of Texas Health Science Center at San Antonio, San Antonio, TX, USA.",2025,"Hromas, Gabrielle; Rolin, Summer; Davis, Jeremy J",United States,2327-9109,1,<a href='https://pubmed.ncbi.nlm.nih.gov/36416227'>Applied neuropsychology. Adult</a>,Appl Neuropsychol Adult,32,eng,28-36,10203055,36416227,2025,Racial differences in positive findings on embedded performance validity tests.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36416227&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10203055/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36416227'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10203055/'>Cited By, Google</a>", ,36416227,2025,23279109,appl neuropsychol adult,,,,Appl Neuropsychol Adult,Unknown,,False,False,False,
UL1TR001422,"National Institute of Environmental Health Sciences, National Institutes of Health, North Carolina, USA.",2025,"Resnik, David B; Hosseini, Mohammad; Rasmussen, Lisa",United States,1545-5815,5,<a href='https://pubmed.ncbi.nlm.nih.gov/38414266'>Accountability in research</a>,Account Res,32,eng,852-857,11347712,38414266,2025 Jul,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11347712'>Responding to research misconduct allegations brought against top university officials.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38414266&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11347712/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38414266'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11347712/'>Cited By, Google</a>", ,38414266,2025,15455815,account res,,,,Account Res,Unknown,,False,False,False,
U24LM013751,"Department of Preventive Medicine, Northwestern University Feinberg School of Medicine, Chicago, IL, USA.",2025,"Hosseini, Mohammad; Holcombe, Alex O; Kovacs, Marton; Zwart, Hub; Katz, Daniel S; Holmes, Kristi",United States,1545-5815,5,<a href='https://pubmed.ncbi.nlm.nih.gov/38445637'>Accountability in research</a>,Account Res,32,eng,762-784,11377859,38445637,2025 Jul,"Group authorship, an excellent opportunity laced with ethical, legal and technical challenges.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38445637&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11377859/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38445637'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11377859/'>Cited By, Google</a>", ,38445637,2025,15455815,account res,,,,Account Res,Unknown,,False,False,False,
T32EB025766,"Department of Physical Therapy and Human Movement Sciences, Feinberg School of Medicine, Northwestern University, Chicago, IL, USA 60611.",2025,"Hemmerling, Kimberly J; Hoggarth, Mark A; Sandhu, Milap S; Parrish, Todd B; Bright, Molly G",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/38464194'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,10925078,38464194,2025 May 26,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10925078'>MRI mapping of hemodynamics in the human spinal cord.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38464194&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10925078/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38464194'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10925078/'>Cited By, Google</a>", ,38464194,2025,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
R01EY032922,"Department of Dermatology, Northwestern University, Chicago, IL, USA.",2025,"Peng, Han; Kaplan, Nihal; Liu, Min; Jiang, Huimin; Lavker, Robert M",United States,1940-6029, ,"<a href='https://pubmed.ncbi.nlm.nih.gov/37930627'>Methods in molecular biology (Clifton, N.J.)</a>",Methods Mol Biol,2879,eng,113-122,11162605,37930627,2025,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11162605'>Keeping an Eye Out for Autophagy in the Cornea: Sample Preparation for Single-Cell RNA-Sequencing.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37930627&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11162605/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37930627'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11162605/'>Cited By, Google</a>", ,37930627,2025,19406029,methods mol biol,,,,Methods Mol Biol,Unknown,,False,False,False,
U54CA193419,"Department of Comparative Biosciences, University of Illinois at Urbana-Champaign, Urbana, IL, USA.",2025,"Liu, Ning; Qiang, Wenan; Jordan, Philip; Marko, John F; Qiao, Huanyu",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/38559262'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,10979861,38559262,2025 Mar 10,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10979861'>Cell cycle and Age-Related Modulations of Mouse Chromosome Stiffness.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38559262&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10979861/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38559262'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10979861/'>Cited By, Google</a>", ,38559262,2025,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
T32EB025766,"Department of Physical Therapy and Human Movement Sciences, Feinberg School of Medicine, Northwestern University, Chicago, IL, USA.",2025,"Hemmerling, Kimberly J; Vigotsky, Andrew D; Glanville, Charlotte; Barry, Robert L; Bright, Molly G",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39896462'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11785179,39896462,2025 Jan 23,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11785179'>Data-driven denoising in spinal cord fMRI with principal component analysis.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39896462&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11785179/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39896462'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11785179/'>Cited By, Google</a>", ,39896462,2025,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
R01NS112363,"Department of Molecular Biosciences, Northwestern University, Evanston, IL, USA.",2025,"Kumar, Sushant; Jin, Fei; Park, Sung Jin; Choi, Wooyoung; Keuning, Sarah I; Massimino, Richard P; Vu, Simon; Lü, Wei; Du, Juan",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39896661'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11785169,39896661,2025 Jan 24,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11785169'>Convergent Agonist and Heat Activation of Nociceptor TRPM3.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39896661&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11785169/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39896661'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11785169/'>Cited By, Google</a>", ,39896661,2025,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
U54EB027049,M Biomedical LLC McCormick SC 29835 USA.,2025,"Downing, Maren; Broach, John; Lam, Wilbur; Manabe, Yukari C; Martin, Greg; McManus, David; Murphy, Robert; Soni, Apurv; Schachter, Steven",United States,2644-1276, ,<a href='https://pubmed.ncbi.nlm.nih.gov/39906263'>IEEE open journal of engineering in medicine and biology</a>,IEEE Open J Eng Med Biol,6,eng,237-240,11793479,39906263,2025,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11793479'>The Shift to Over-the-Counter Diagnostic Testing After RADx: Clinical, Regulatory, and Societal Implications.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39906263&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11793479/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39906263'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11793479/'>Cited By, Google</a>", ,39906263,2025,26441276,ieee open j eng med biol,,,,IEEE Open J Eng Med Biol,Unknown,,False,False,False,
R01MH123491,"Department of Medical Social Sciences, Feinberg School of Medicine, Northwestern University, Chicago, Illinois, USA; email: rinad.beidas@northwestern.edu.",2025,"Beidas, Rinad S; Boyd, Meredith; Casline, Elizabeth; Scott, Kelli; Patel-Syed, Zabin; Mills, Chynna; Mustanski, Brian; Schriger, Simone; Williams, Faith Summersett; Waller, Claire; Helseth, Sarah A; Becker, Sara J",United States,1548-5951,1,<a href='https://pubmed.ncbi.nlm.nih.gov/39971390'>Annual review of clinical psychology</a>,Annu Rev Clin Psychol,21,eng,529-555,12247127,39971390,2025 May,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/12247127'>Harnessing Implementation Science in Clinical Psychology: Past, Present, and Future.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39971390&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC12247127/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39971390'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC12247127/'>Cited By, Google</a>", ,39971390,2025,15485951,annu rev clin psychol,,,,Annu Rev Clin Psychol,Unknown,,False,False,False,
