_publisher,papers,unique_journals,total_uncovered_usd,within_cap_papers,abovecap_papers
Springer Nature,356,100,1532277.0,5,351
Elsevier,390,147,1154829.0,8,382
Wiley,169,70,405365.0,0,169
American Society for Clinical Investigation,90,2,320200.0,0,90
Oxford University Press (OUP),101,37,258656.46,1,100
Wolters Kluwer,97,37,253070.0,4,93
Proceedings of the National Academy of Sciences,42,1,167790.0,0,42
American Association for Cancer Research (AACR),25,6,158550.0,0,25
American Chemical Society (ACS),57,19,142500.0,0,57
Frontiers,34,13,64789.5,0,34
American Medical Association (AMA),23,4,58000.0,0,23
MDPI,40,16,55875.0,0,40
American Association for the Advancement of Science (AAAS),16,1,55200.0,0,16
Taylor & Francis,24,14,44220.0,0,24
The Company of Biologists,13,4,39200.0,0,13
SAGE Publications,28,16,38700.0,1,27
Rockefeller University Press,9,1,36000.0,0,9
BMJ,17,6,29290.75,0,17
Society for Neuroscience,8,2,26420.0,0,8
Thieme,18,2,26100.0,0,18
American Society for Microbiology,16,5,25400.0,4,12
Public Library of Science (PLoS),27,5,22324.0,0,27
American Psychological Association (APA),19,7,19000.0,0,19
American Society of Clinical Oncology (ASCO),5,2,17500.0,0,5
eLife,17,1,17000.0,0,17
American Academy of Pediatrics (AAP),6,2,15000.0,0,6
Radiological Society of North America (RSNA),8,2,12000.0,0,8
American Society for Cell Biology (ASCB),6,1,11970.0,0,6
Cold Spring Harbor Laboratory,5,2,11500.0,0,5
Mary Ann Liebert,5,3,8000.0,0,5
AIP Publishing,4,1,7200.0,0,4
The Endocrine Society,4,2,6712.0,0,4
JMIR Publications,16,6,6000.0,7,9
Institute of Electrical and Electronics Engineers (IEEE),9,3,5805.0,0,9
American Society of Hematology,1,1,4600.0,0,1
Life Science Alliance,2,1,3950.0,0,2
American Diabetes Association,7,2,3500.0,0,7
Cambridge University Press (CUP),2,2,3100.0,0,2
Journal of Neurosurgery Publishing Group (JNSPG),3,1,3000.0,0,3
IOP Publishing,2,1,2650.0,0,2
Impact Journals,2,1,2400.0,0,2
Royal Society of Chemistry (RSC),3,2,2067.0,2,1
Bioscientifica,1,1,2063.0,0,1
ASME International,1,1,1000.0,0,1
American Public Health Association,1,1,500.0,0,1
Optica Publishing Group,7,2,470.0,0,7
COPD Foundation,1,1,450.0,0,1
American Speech Language Hearing Association,5,2,0.0,5,0
AME Publishing Company,5,1,0.0,5,0
American Physiological Society,8,4,0.0,8,0
Bio-Protocol,2,1,0.0,2,0
American Thoracic Society,8,3,0.0,8,0
Association for Computing Machinery (ACM),2,1,0.0,2,0
Association for Research in Vision and Ophthalmology (ARVO),6,2,0.0,6,0
MyJove,2,1,0.0,2,0
MIT Press,5,3,0.0,5,0
Environmental Health Perspectives,2,1,0.0,2,0
"SPIE, the international society for optics and photonics",4,1,0.0,4,0
