_issn_norm,_journal_label,_publisher,apc,papers,uncovered_total,within_cap
21567085,Biomed Opt Express,Optica Publishing Group,2005.0,6,30.0,False
26325012,Sleep Adv,Oxford University Press (OUP),2054.0,1,54.0,False
24725560,SLAS Discov,Elsevier,2070.0,1,70.0,False
23796146,Learn Health Syst,Wiley,2080.0,1,80.0,False
26913593,Ann Surg Open,Wolters Kluwer,2100.0,2,200.0,False
1098660X,J Clin Microbiol,American Society for Microbiology,2100.0,1,100.0,False
23259582,J Int Assoc Provid AIDS Care,SAGE Publications,2100.0,1,100.0,False
15328511,J Stroke Cerebrovasc Dis,Elsevier,2170.0,1,170.0,False
27313395,Commun Eng,Springer Nature,2190.0,1,190.0,False
2452199X,Bioact Mater,Elsevier,2200.0,5,1000.0,False
20358385,Neurol Int,MDPI,2250.0,1,250.0,False
26622211,Implement Sci Commun,Springer Nature,2290.0,4,1160.0,False
23738731,Transplant Direct,Wolters Kluwer,2300.0,1,300.0,False
19326203,PLoS One,Public Library of Science (PLoS),2382.0,14,5348.0,False
15394794,Opt Lett,Optica Publishing Group,2440.0,1,440.0,False
2372952X,Chronic Obstr Pulm Dis,COPD Foundation,2450.0,1,450.0,False
2561326X,JMIR Form Res,JMIR Publications,2500.0,7,3500.0,False
19355548,Diabetes Care,American Diabetes Association,2500.0,5,2500.0,False
1939327X,Diabetes,American Diabetes Association,2500.0,2,1000.0,False
26669145,Ophthalmol Sci,Elsevier,2500.0,2,1000.0,False
15410048,Am J Public Health,American Public Health Association,2500.0,1,500.0,False
23528737,Alzheimers Dement (N Y),Wiley,2540.0,7,3780.0,False
23528729,Alzheimers Dement (Amst),Wiley,2540.0,1,540.0,False
27679764,Cancer Res Commun,American Association for Cancer Research (AACR),2550.0,1,550.0,False
17582652,J Int AIDS Soc,Wiley,2600.0,1,600.0,False
26322498,Neurooncol Adv,Oxford University Press (OUP),2615.0,2,1230.0,False
19491042,Nucleus,Taylor & Francis,2630.0,2,1260.0,False
21682208,IEEE J Biomed Health Inform,Institute of Electrical and Electronics Engineers (IEEE),2645.0,5,3225.0,False
15582531,IEEE Trans Biomed Eng,Institute of Electrical and Electronics Engineers (IEEE),2645.0,2,1290.0,False
1558254X,IEEE Trans Med Imaging,Institute of Electrical and Electronics Engineers (IEEE),2645.0,2,1290.0,False
20452322,Sci Rep,Springer Nature,2690.0,24,16560.0,False
20567936,NPJ Sci Learn,Springer Nature,2690.0,2,1380.0,False
17560381,BioData Min,Springer Nature,2690.0,1,690.0,False
20587716,Cell Death Discov,Springer Nature,2690.0,1,690.0,False
26929384,JCPP Adv,Wiley,2705.0,1,705.0,False
17580463,Database (Oxford),Oxford University Press (OUP),2729.0,1,729.0,False
14673045,Curr Issues Mol Biol,MDPI,2750.0,1,750.0,False
20763425,Brain Sci,MDPI,2750.0,1,750.0,False
17456215,Trials,Springer Nature,2790.0,2,1580.0,False
27314553,BMC Prim Care,Springer Nature,2790.0,1,790.0,False
21501327,J Prim Care Community Health,SAGE Publications,2800.0,5,4000.0,False
15252191,Am J Pathol,Elsevier,2800.0,4,3200.0,False
1877718X,J Parkinsons Dis,SAGE Publications,2800.0,4,3200.0,False
20477163,Sci Prog,SAGE Publications,2800.0,1,800.0,False
20552076,Digit Health,SAGE Publications,2800.0,1,800.0,False
24680249,Kidney Int Rep,Elsevier,2800.0,1,800.0,False
25424823,J Alzheimers Dis Rep,SAGE Publications,2800.0,1,800.0,False
29768357,Subst Use,SAGE Publications,2800.0,1,800.0,False
14661268,Cell Stress Chaperones,Elsevier,2850.0,2,1700.0,False
22601341,J Frailty Aging,Elsevier,2850.0,1,850.0,False
24734039,JBMR Plus,Oxford University Press (OUP),2888.0,1,888.0,False
26663546,Brain Behav Immun Health,Elsevier,2890.0,3,2670.0,False
19400640,Addict Sci Clin Pract,Springer Nature,2890.0,1,890.0,False
2471254X,Hepatol Commun,Wolters Kluwer,2900.0,2,1800.0,False
2772963X,JACC Adv,Elsevier,2936.0,2,1872.0,False
14726947,BMC Med Inform Decis Mak,Springer Nature,2990.0,4,3960.0,False
17501172,Orphanet J Rare Dis,Springer Nature,2990.0,2,1980.0,False
13652060,Ann Med,Taylor & Francis,2990.0,1,990.0,False
27307174,Res Child Adolesc Psychopathol,Springer Nature,2990.0,1,990.0,False
2050084X,Elife,eLife,3000.0,17,17000.0,False
1532429X,J Cardiovasc Magn Reson,Elsevier,3000.0,5,5000.0,False
23290382,Psychol Sex Orientat Gend Divers,American Psychological Association (APA),3000.0,5,5000.0,False
19390602,Fam Syst Health,American Psychological Association (APA),3000.0,4,4000.0,False
19330693,J Neurosurg,Journal of Neurosurgery Publishing Group (JNSPG),3000.0,3,3000.0,False
1939134X,Psychol Assess,American Psychological Association (APA),3000.0,3,3000.0,False
2769755X,J Psychopathol Clin Sci,American Psychological Association (APA),3000.0,3,3000.0,False
15420086,Biophys J,Elsevier,3000.0,2,2000.0,False
19307810,Health Psychol,American Psychological Association (APA),3000.0,2,2000.0,False
15288951,J Biomech Eng,ASME International,3000.0,1,1000.0,False
19311559,Neuropsychology,American Psychological Association (APA),3000.0,1,1000.0,False
23766972,Stigma Health,American Psychological Association (APA),3000.0,1,1000.0,False
20446055,BMJ Open,BMJ,3025.75,5,5128.75,False
15537374,PLoS Pathog,Public Library of Science (PLoS),3043.0,8,8344.0,False
15537358,PLoS Comput Biol,Public Library of Science (PLoS),3043.0,3,3129.0,False
15537404,PLoS Genet,Public Library of Science (PLoS),3043.0,1,1043.0,False
18790534,Comput Biol Med,Elsevier,3080.0,1,1080.0,False
14712334,BMC Infect Dis,Springer Nature,3090.0,1,1090.0,False
15732800,Arch Sex Behav,Springer Nature,3090.0,1,1090.0,False
17501326,Mol Neurodegener,Springer Nature,3090.0,1,1090.0,False
20511426,J Immunother Cancer,BMJ,3125.0,4,4500.0,False
15592030,Contemp Clin Trials,Elsevier,3140.0,1,1140.0,False
22915222,JMIR Mhealth Uhealth,JMIR Publications,3150.0,1,1150.0,False
10902155,Brain Lang,Elsevier,3170.0,2,2340.0,False
14795868,Int J Behav Nutr Phys Act,Springer Nature,3177.0,1,1177.0,False
26737647,Front Bioinform,Frontiers,3187.5,1,1187.5,False
17509378,Infect Agent Cancer,Springer Nature,3190.0,3,3570.0,False
15283658,Mol Med,Springer Nature,3190.0,1,1190.0,False
15733432,J Autism Dev Disord,Springer Nature,3190.0,1,1190.0,False
19492553,Oncotarget,Impact Journals,3200.0,2,2400.0,False
15526259,Ann Thorac Surg,Elsevier,3200.0,1,1200.0,False
18790984,J Virol Methods,Elsevier,3210.0,2,2420.0,False
18784321,Womens Health Issues,Elsevier,3220.0,2,2440.0,False
25890042,iScience,Elsevier,3240.0,9,11160.0,False
20538790,Lupus Sci Med,BMJ,3243.0,3,3729.0,False
20751729,Life (Basel),MDPI,3250.0,2,2500.0,False
20754418,Diagnostics (Basel),MDPI,3250.0,2,2500.0,False
22279059,Biomedicines,MDPI,3250.0,2,2500.0,False
20734425,Genes (Basel),MDPI,3250.0,1,1250.0,False
20754426,J Pers Med,MDPI,3250.0,1,1250.0,False
18727913,Int J Antimicrob Agents,Elsevier,3280.0,1,1280.0,False
14712458,BMC Public Health,Springer Nature,3290.0,3,3870.0,False
20426410,Biol Sex Differ,Springer Nature,3290.0,2,2580.0,False
1471244X,BMC Psychiatry,Springer Nature,3290.0,1,1290.0,False
14726963,BMC Health Serv Res,Springer Nature,3290.0,1,1290.0,False
18732607,Am J Prev Med,Elsevier,3300.0,4,5200.0,False
18733514,Neuropsychologia,Elsevier,3300.0,1,1300.0,False
18791379,J Psychiatr Res,Elsevier,3320.0,2,2640.0,False
17412552,J Neural Eng,IOP Publishing,3325.0,2,2650.0,False
14388871,J Med Internet Res,JMIR Publications,3350.0,1,1350.0,False
18726240,Brain Res,Elsevier,3360.0,4,5440.0,False
20734409,Cells,MDPI,3375.0,4,5500.0,False
23065354,Bioengineering (Basel),MDPI,3375.0,4,5500.0,False
23083425,J Cardiovasc Dev Dis,MDPI,3375.0,2,2750.0,False
20762607,Microorganisms,MDPI,3375.0,1,1375.0,False
22279032,Healthcare (Basel),MDPI,3375.0,1,1375.0,False
17485908,Implement Sci,Springer Nature,3390.0,2,2780.0,False
14712407,BMC Cancer,Springer Nature,3390.0,1,1390.0,False
10958673,J Surg Res,Elsevier,3410.0,3,4230.0,False
24721972,J Endocr Soc,The Endocrine Society,3418.0,2,2836.0,False
1083351X,J Biol Chem,Elsevier,3430.0,7,10010.0,False
2352345X,Cell Mol Gastroenterol Hepatol,Elsevier,3430.0,2,2860.0,False
15359484,Mol Cell Proteomics,Elsevier,3430.0,1,1430.0,False
15397262,J Lipid Res,Elsevier,3430.0,1,1430.0,False
29498759,J Subst Use Addict Treat,Elsevier,3440.0,3,4320.0,False
10988785,Am J Perinatol,Thieme,3450.0,16,23200.0,False
18690327,Appl Clin Inform,Thieme,3450.0,2,2900.0,False
10976779,Gastrointest Endosc,Elsevier,3450.0,1,1450.0,False
18735126,Parkinsonism Relat Disord,Elsevier,3460.0,2,2920.0,False
19341563,PM R,Wiley,3470.0,3,4410.0,False
14320428,Diabetologia,Springer Nature,3490.0,6,8940.0,False
1465993X,Respir Res,Springer Nature,3490.0,1,1490.0,False
19348800,Infant Behav Dev,Elsevier,3490.0,1,1490.0,False
26386135,Radiol Cardiothorac Imaging,Radiological Society of North America (RSNA),3500.0,6,9000.0,False
15271315,Radiology,Radiological Society of North America (RSNA),3500.0,2,3000.0,False
27711897,Urogynecology (Phila),Wolters Kluwer,3500.0,2,3000.0,False
22110356,Mult Scler Relat Disord,Elsevier,3500.0,1,1500.0,False
2666335X,F S Sci,Elsevier,3500.0,1,1500.0,False
1938131X,Jt Comm J Qual Patient Saf,Elsevier,3510.0,2,3020.0,False
27559637,Eur Heart J Imaging Methods Pract,Oxford University Press (OUP),3510.0,1,1510.0,False
10970193,Hum Brain Mapp,Wiley,3520.0,3,4560.0,False
18727697,Int J Psychophysiol,Elsevier,3540.0,1,1540.0,False
25785745,ACR Open Rheumatol,Wiley,3550.0,3,4650.0,False
15328392,Hum Pathol,Elsevier,3550.0,2,3100.0,False
14692198,Dev Psychopathol,Cambridge University Press (CUP),3550.0,1,1550.0,False
14698978,Psychol Med,Cambridge University Press (CUP),3550.0,1,1550.0,False
25899333,Am J Obstet Gynecol MFM,Elsevier,3550.0,1,1550.0,False
19318405,AIDS Res Hum Retroviruses,Mary Ann Liebert,3600.0,3,4800.0,False
14681331,Eur J Neurol,Wiley,3600.0,1,1600.0,False
1931843X,J Womens Health (Larchmt),Mary Ann Liebert,3600.0,1,1600.0,False
2156535X,J Adolesc Young Adult Oncol,Mary Ann Liebert,3600.0,1,1600.0,False
15573117,J Heart Lung Transplant,Elsevier,3606.0,1,1606.0,False
19506007,Biomed Pharmacother,Elsevier,3610.0,1,1610.0,False
20726694,Cancers (Basel),MDPI,3625.0,9,14625.0,False
14220067,Int J Mol Sci,MDPI,3625.0,6,9750.0,False
20763921,Antioxidants (Basel),MDPI,3625.0,2,3250.0,False
15323064,Respir Med,Elsevier,3630.0,1,1630.0,False
17528062,Clin Transl Sci,Wiley,3630.0,1,1630.0,False
10991492,NMR Biomed,Wiley,3640.0,3,4920.0,False
10960260,Prev Med,Elsevier,3650.0,2,3300.0,False
10985549,Mol Cell Biol,Taylor & Francis,3650.0,2,3300.0,False
19403208,J Am Coll Health,Taylor & Francis,3650.0,2,3300.0,False
19490984,Gut Microbes,Taylor & Francis,3650.0,2,3300.0,False
00220426,J Drug Issues,SAGE Publications,3650.0,1,1650.0,False
02687038,Aphasiology,Taylor & Francis,3650.0,1,1650.0,False
13600451,AIDS Care,Taylor & Francis,3650.0,1,1650.0,False
15407586,J Psychosoc Oncol,Taylor & Francis,3650.0,1,1650.0,False
18732380,J Biomech,Elsevier,3650.0,1,1650.0,False
15222594,Magn Reson Med,Wiley,3680.0,4,6720.0,False
15222586,J Magn Reson Imaging,Wiley,3680.0,3,5040.0,False
18732518,Vaccine,Elsevier,3680.0,1,1680.0,False
2730664X,Commun Med (Lond),Springer Nature,3690.0,4,6760.0,False
23732822,eNeuro,Society for Neuroscience,3690.0,3,5070.0,False
15495477,Genes Dev,Cold Spring Harbor Laboratory,3700.0,3,5100.0,False
15300374,Menopause,Wolters Kluwer,3700.0,1,1700.0,False
15506606,J Immunol,Oxford University Press (OUP),3710.0,5,8550.0,False
