_publisher,papers,unique_journals,total_uncovered_usd,within_cap_papers,abovecap_papers,waived_papers
Springer Nature,366,127,407300.0,256,110,119
Elsevier,458,201,139506.0,402,56,0
American Association for Cancer Research (AACR),28,7,63000.0,2,26,0
American Society of Hematology,5,2,2400.0,1,4,0
Society for Neuroscience,13,2,2160.0,5,8,0
Oxford University Press (OUP),132,46,523.2000000000007,128,4,0
Public Library of Science (PLoS),25,7,460.0,24,1,0
AIP Publishing,2,1,0.0,2,0,0
American Medical Association (AMA),35,5,0.0,35,0,0
American Physical Society (APS),1,1,0.0,1,0,0
American Physiological Society,10,6,0.0,10,0,0
American Psychological Association (APA),28,12,0.0,28,0,0
American Academy of Pediatrics (AAP),6,2,0.0,6,0,0
American Association for the Advancement of Science (AAAS),15,1,0.0,15,0,0
ASME International,1,1,0.0,1,0,0
AME Publishing Company,3,1,0.0,3,0,0
American Society for Microbiology,17,7,0.0,17,0,0
American Society for Clinical Investigation,40,2,0.0,40,0,0
American Speech Language Hearing Association,10,2,0.0,10,0,0
American Society of Clinical Oncology (ASCO),8,3,0.0,8,0,0
Association for Computing Machinery (ACM),1,1,0.0,1,0,0
Association for Research in Vision and Ophthalmology (ARVO),3,2,0.0,3,0,0
BMJ,21,10,0.0,21,0,0
American Thoracic Society,8,3,0.0,8,0,0
Bio-Protocol,3,1,0.0,3,0,0
Bioscientifica,1,1,0.0,1,0,0
Cambridge University Press (CUP),4,3,0.0,4,0,0
COPD Foundation,1,1,0.0,1,0,0
American Public Health Association,1,1,0.0,1,0,0
American Society for Cell Biology (ASCB),5,1,0.0,5,0,0
American Chemical Society (ACS),54,27,0.0,54,0,0
American Diabetes Association,7,2,0.0,7,0,0
Ferrata Storti Foundation (Haematologica),1,1,0.0,1,0,0
Environmental Health Perspectives,2,1,0.0,2,0,0
Cold Spring Harbor Laboratory,3,2,0.0,3,0,0
Centers for Disease Control and Prevention (CDC),1,1,0.0,1,0,0
JMIR Publications,19,7,0.0,19,0,0
Journal of Neurosurgery Publishing Group (JNSPG),2,1,0.0,2,0,0
Frontiers,34,16,0.0,34,0,0
IOP Publishing,3,2,0.0,3,0,0
MDPI,57,24,0.0,57,0,0
Life Science Alliance,1,1,0.0,1,0,0
MIT Press,6,4,0.0,6,0,0
Mary Ann Liebert,7,5,0.0,7,0,0
Optica Publishing Group,5,3,0.0,5,0,0
MyJove,1,1,0.0,1,0,0
Impact Journals,1,1,0.0,1,0,0
Institute of Electrical and Electronics Engineers (IEEE),6,3,0.0,6,0,0
Radiation Research Society,1,1,0.0,1,0,0
Proceedings of the National Academy of Sciences,32,1,0.0,32,0,0
Radiological Society of North America (RSNA),4,2,0.0,4,0,0
Rockefeller University Press,3,2,0.0,3,0,0
SAGE Publications,37,19,0.0,37,0,0
Royal Society of Chemistry (RSC),6,6,0.0,6,0,0
"SPIE, the international society for optics and photonics",3,2,0.0,3,0,0
Taylor & Francis,26,20,0.0,26,0,0
The Company of Biologists,10,4,0.0,10,0,0
The Endocrine Society,6,3,0.0,6,0,0
Thieme,25,3,0.0,25,0,0
Ubiquity Press,1,1,0.0,1,0,0
Unknown,42,36,0.0,42,0,42
Wiley,223,100,0.0,223,0,222
Wolters Kluwer,140,44,0.0,140,0,9
eLife,13,1,0.0,13,0,0
