_issn_norm,_journal_label,_publisher,apc,papers,uncovered_total,within_cap
15221466,Am J Physiol Renal Physiol,American Physiological Society,0.0,2,0.0,True
15529924,Environ Health Perspect,Environmental Health Perspectives,0.0,2,0.0,True
20416520,Chem Sci,Royal Society of Chemistry (RSC),0.0,2,0.0,True
15221547,Am J Physiol Gastrointest Liver Physiol,American Physiological Society,0.0,1,0.0,True
25730142,Proc ACM Hum Comput Interact,Association for Computing Machinery (ACM),350.0,2,0.0,True
15221539,Am J Physiol Heart Circ Physiol,American Physiological Society,995.0,4,0.0,True
15221598,J Neurophysiol,American Physiological Society,995.0,1,0.0,True
23318325,Bio Protoc,Bio-Protocol,1200.0,2,0.0,True
15308898,J Cogn Neurosci,MIT Press,1250.0,1,0.0,True
27314251,Npj Ment Health Res,Springer Nature,1390.0,3,0.0,True
27536130,Glob Adv Integr Med Health,SAGE Publications,1500.0,1,0.0,True
26661667,STAR Protoc,Elsevier,1550.0,7,0.0,True
10985514,J Virol,American Society for Microbiology,1580.0,4,0.0,True
28376056,Imaging Neurosci (Camb),MIT Press,1600.0,3,0.0,True
15602281,J Biomed Opt,"SPIE, the international society for optics and photonics",1675.0,4,0.0,True
20721439,J Thorac Dis,AME Publishing Company,1680.0,5,0.0,True
17560500,BMC Res Notes,Springer Nature,1690.0,1,0.0,True
25737732,Immunohorizons,Oxford University Press (OUP),1700.0,1,0.0,True
26417650,Kidney360,Wolters Kluwer,1800.0,3,0.0,True
1940087X,J Vis Exp,MyJove,1800.0,2,0.0,True
26414368,Neurobiol Lang (Camb),MIT Press,1800.0,1,0.0,True
15525783,Invest Ophthalmol Vis Sci,Association for Research in Vision and Ophthalmology (ARVO),1850.0,3,0.0,True
19290748,JMIR Res Protoc,JMIR Publications,1900.0,3,0.0,True
21642591,Transl Vis Sci Technol,Association for Research in Vision and Ophthalmology (ARVO),1950.0,3,0.0,True
26665778,AJOG Glob Rep,Elsevier,1980.0,1,0.0,True
22929495,JMIR Hum Factors,JMIR Publications,1985.0,3,0.0,True
23691999,JMIR Cancer,JMIR Publications,1985.0,1,0.0,True
25098020,J Patient Rep Outcomes,Springer Nature,1990.0,1,0.0,True
15354989,Am J Respir Cell Mol Biol,American Thoracic Society,2000.0,4,0.0,True
15589102,J Speech Lang Hear Res,American Speech Language Hearing Association,2000.0,4,0.0,True
23256621,Ann Am Thorac Soc,American Thoracic Society,2000.0,3,0.0,True
15354970,Am J Respir Crit Care Med,American Thoracic Society,2000.0,1,0.0,True
15589110,Am J Speech Lang Pathol,American Speech Language Hearing Association,2000.0,1,0.0,True
26398028,Crit Care Explor,Wolters Kluwer,2000.0,1,0.0,True
21567085,Biomed Opt Express,Optica Publishing Group,2005.0,6,0.0,True
