Core Project Number,Affiliation,Pub Year,Authors,Country,ISSN,Journal Issue,Journal (Link to PubMed abstract),Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central),Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Relative Citation Ratio,Unnamed: 21,_year_int,_issn_norm,APC 2025 (USD),Publisher,Journal
UL1TR001422,"Feinberg School of Medicine, Northwestern University, Chicago, Illinois, USA.",2024,"Hosseini, Mohammad; Senabre Hidalgo, Enric; Horbach, Serge P J M; GÃ¼ttinger, Stephan; Penders, Bart",United States,1545-5815,5,<a href='https://pubmed.ncbi.nlm.nih.gov/36303330'>Accountability in research</a>,Account Res,31,eng,428-455,10163171,36303330,2024 Jul,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10163171'>Messing with Merton: The intersection between open science practices and Mertonian values.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36303330&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10163171/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36303330'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10163171/'>Cited By, Google</a>",2.94,PMID(36303330) OR  ,2024,15455815,,,
R01AG018436,"Department of Psychological and Brain Sciences, Washington University in St. Louis, St. Louis; MO, USA.",2024,"Pfund, Gabrielle N; Willroth, Emily C; Mroczek, Daniel K; Hill, Patrick L",United States,1948-5506,3,<a href='https://pubmed.ncbi.nlm.nih.gov/38435845'>Social psychological and personality science</a>,Soc Psychol Personal Sci,15,eng,275-287,10904030,38435845,2024 Apr,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10904030'>Valuing versus having: The contrary roles of valuing and having money and prestige on well-being.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38435845&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10904030/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38435845'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10904030/'>Cited By, Google</a>", ,PMID(38435845) OR  ,2024,19485506,,,
R01AI150998,"Division of Infectious Diseases, Department of Medicine, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.",2024,"Cisneros, William J; Walter, Miriam; Soliman, Shimaa H A; Simons, Lacy M; Cornish, Daphne; Halle, Ariel W; Kim, Eun-Young; Wolinsky, Steven M; Shilatifard, Ali; Hultquist, Judd F",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/38464055'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,10925308,38464055,2024 Mar 01,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10925308'>Release of P-TEFb from the Super Elongation Complex promotes HIV-1 latency reversal.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38464055&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10925308/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38464055'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10925308/'>Cited By, Google</a>", ,PMID(38464055) OR  ,2024,26928205,,,
F31NS120500,"Department of Physical Therapy and Human Movement Sciences, Feinberg School of Medicine, Northwestern University, Chicago, USA.",2024,"Gomes, Matheus M; Jenz, Sophia T; Beauchamp, James A; Negro, Francesco; Heckman, C J; Pearcey, Gregory E P",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/38464115'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,10925258,38464115,2024 Mar 03,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10925258'>Voluntary co-contraction of ankle muscles alters motor unit discharge characteristics and reduces estimates of persistent inward currents.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38464115&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10925258/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38464115'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10925258/'>Cited By, Google</a>", ,PMID(38464115) OR  ,2024,26928205,,,
T32EY025202, ,2024,"Aranda, Marcos L; Bhoi, Jacob D; Parra, Omar A PayÃ¡n; Lee, Seul Ki; Yamada, Tomoko; Yang, Yue; Schmidt, Tiffany M",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/38712084'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11071530,38712084,2024 Apr 28,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11071530'>Genetic tuning of intrinsically photosensitive retinal ganglion cell subtype identity to drive visual behavior.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38712084&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11071530/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38712084'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11071530/'>Cited By, Google</a>", ,PMID(38712084) OR  ,2024,26928205,,,
R01HL122309, ,2024,"Becker, Amanda; Filipp, Mallory; Lantz, Connor; Glinton, Kristofor; Thorp, Edward B",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/38712137'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11071477,38712137,2024 Apr 28,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11071477'>HIF-1Î± is Required to Differentiate the Neonatal Macrophage Secretome from Adults.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38712137&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11071477/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38712137'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11071477/'>Cited By, Google</a>", ,PMID(38712137) OR  ,2024,26928205,,,
T32GM008449,"Department of Chemical and Biological Engineering, Northwestern University, Evanston, Illinois 60208, USA.",2024,"Li, Yueyi; Lucci, Tyler; Dujovne, Matias Villarruel; Jung, Jaeyoung Kirsten; Capdevila, Daiana A; Lucks, Julius B",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/38712145'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,11071457,38712145,2024 Apr 25,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11071457'>Engineering a cell-free biosensor signal amplification circuit with polymerase strand recycling.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38712145&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11071457/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38712145'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11071457/'>Cited By, Google</a>", ,PMID(38712145) OR  ,2024,26928205,,,
P30AG013854,"Department of Neurology and Neurological Sciences, Stanford University School of Medicine, Stanford, CA, USA.",2024,"Belloy, Michael E; Guen, Yann Le; Stewart, Ilaria; Herz, Joachim; Sherva, Richard; Zhang, Rui; Merritt, Victoria; Panizzon, Matthew S; Hauger, Richard L; VA Million Veteran Program; Gaziano, J Michael; Logue, Mark; Napolioni, Valerio; Greicius, Michael D",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/38712163'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,11071554,38712163,2024 Apr 23,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11071554'>The Role of X Chromosome in Alzheimer's Disease Genetics.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38712163&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11071554/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38712163'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11071554/'>Cited By, Google</a>", ,PMID(38712163) OR  ,2024,,,,
K99AG071838,"Department of Psychology, University of Houston, Houston, Texas, USA.",2024,"Atherton, Olivia E; Willroth, Emily C; Graham, Eileen K; Luo, Jing; Mroczek, Daniel K; Lewis-Thames, Marquita W",United States,1467-6494,1,<a href='https://pubmed.ncbi.nlm.nih.gov/36725776'>Journal of personality</a>,J Pers,92,eng,73-87,10390645,36725776,2024 Feb,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10390645'>Rural-urban differences in personality traits and well-being in adulthood.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36725776&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10390645/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36725776'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10390645/'>Cited By, Google</a>",4.14,PMID(36725776) OR  ,2024,14676494,,,
R01AG082954,"Department of Psychology, University of Houston, Houston, Texas, USA.",2024,"Atherton, Olivia E; Willroth, Emily C; Graham, Eileen K; Luo, Jing; Mroczek, Daniel K; Lewis-Thames, Marquita W",United States,1467-6494,1,<a href='https://pubmed.ncbi.nlm.nih.gov/36725776'>Journal of personality</a>,J Pers,92,eng,73-87,10390645,36725776,2024 Feb,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10390645'>Rural-urban differences in personality traits and well-being in adulthood.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36725776&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10390645/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36725776'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10390645/'>Cited By, Google</a>",4.14,PMID(36725776) OR  ,2024,14676494,,,
