Core Project Number,Affiliation,Pub Year,Authors,Country,ISSN,Journal Issue,Journal (Link to PubMed abstract),Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central),Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Relative Citation Ratio,_pmid_norm,_year_int,_issn_norm,_title_norm,APC 2025 (USD),Publisher,Journal,_journal_label,_publisher,apc_original,_waived_by_issn,_waived_by_title,_is_waived,apc_effective
UL1TR001422,"Feinberg School of Medicine, Northwestern University, Chicago, Illinois, USA.",2024,"Hosseini, Mohammad; Senabre Hidalgo, Enric; Horbach, Serge P J M; Güttinger, Stephan; Penders, Bart",United States,1545-5815,5,<a href='https://pubmed.ncbi.nlm.nih.gov/36303330'>Accountability in research</a>,Account Res,31,eng,428-455,10163171,36303330,2024 Jul,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10163171'>Messing with Merton: The intersection between open science practices and Mertonian values.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36303330&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10163171/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36303330'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10163171/'>Cited By, Google</a>",2.94,36303330,2024,15455815,account res,,,,Account Res,Unknown,,False,False,False,
R35GM142441,"Department of Urology, Northwestern University, Feinberg School of Medicine, Chicago, IL, USA.",2024,"Li, Yangyang; Yang, Rendong",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/37577677'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,10418261,37577677,2024 Feb 05,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10418261'>PxBLAT: An efficient python binding library for BLAT.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37577677&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10418261/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37577677'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10418261/'>Cited By, Google</a>", ,37577677,2024,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
F32HD104408,"Department of Psychology, Northwestern University.",2024,"Luchkina, Elena; Waxman, Sandra",United States,1745-6924,6,<a href='https://pubmed.ncbi.nlm.nih.gov/37603076'>Perspectives on psychological science : a journal of the Association for Psychological Science</a>,Perspect Psychol Sci,19,eng,978-992,10879458,37603076,2024 Nov,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10879458'>Talking About the Absent and the Abstract: Referential Communication in Language and Gesture.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37603076&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10879458/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37603076'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10879458/'>Cited By, Google</a>", ,37603076,2024,17456924,perspect psychol sci,,,,Perspect Psychol Sci,Unknown,,False,False,False,
K12HS026385,"Department of Dermatology, Feinberg School of Medicine at Northwestern University, Chicago, IL, USA.",2024,"Fakhraie, Sheiva; Chovatiya, Raj",United States,2162-5220,3,"<a href='https://pubmed.ncbi.nlm.nih.gov/37615603'>Dermatitis : contact, atopic, occupational, drug</a>",Dermatitis,35,eng,299-300, ,37615603,2024,Janus Kinase Inhibition in the Treatment of Prurigo Nodularis.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37615603&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Janus Kinase Inhibition in the Treatment of Prurigo Nodularis.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37615603'>Cited By, PMID</a>", , ,37615603,2024,21625220,dermatitis,,,,Dermatitis,Unknown,,False,False,False,
R01DK125577,"Division of Nephrology and Hypertension, Northwestern University Feinberg School of Medicine, Chicago, Illinois.",2024,"Chung, Eunah; Deacon, Patrick; Hu, Yueh-Chiang; Lim, Hee-Woong; Park, Joo-Seop",United States,2692-8205, ,<a href='https://pubmed.ncbi.nlm.nih.gov/37645929'>bioRxiv : the preprint server for biology</a>,bioRxiv, ,eng, ,10461989,37645929,2024 May 05,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10461989'>Hedgehog signaling is required for the maintenance of mesenchymal nephron progenitors.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37645929&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10461989/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37645929'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10461989/'>Cited By, Google</a>", ,37645929,2024,26928205,biorxiv,,,,bioRxiv,Unknown,,False,False,False,
R01HL134800,"Molecular Biology and Biochemistry, Simon Fraser University, Vancouver, British Columbia, Canada. everheye@sfu.ca.",2024,"Verheyen, Esther M; Gottardi, Cara J",England,1471-0080,8,<a href='https://pubmed.ncbi.nlm.nih.gov/38760457'>Nature reviews. Molecular cell biology</a>,Nat Rev Mol Cell Biol,25,eng,597, ,38760457,2024 Aug,Solving the Wnt nuclear puzzle.,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38760457&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Solving the Wnt nuclear puzzle.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38760457'>Cited By, PMID</a>", , ,38760457,2024,14710080,nat rev mol cell biol,,,,Nat Rev Mol Cell Biol,Unknown,,False,False,False,
K23HL169815,"Department of Medicine, Northwestern University Feinberg School of Medicine, Chicago, IL.",2024,"Grudzinski, Kevin M; Fenske, Samuel; Peltekian, Alec; Markov, Nikolay S; Pawlowski, Anna; Kang, Mengjia; Walter, James M; Pickens, Chiagozie I; Nadig, Nandita R; Agrawal, Ankit; Singer, Benjamin D; Wunderink, Richard G; Gao, Catherine A",United States, , ,<a href='https://pubmed.ncbi.nlm.nih.gov/38766045'>medRxiv : the preprint server for health sciences</a>,medRxiv, ,eng, ,11100846,38766045,2024 Nov 04,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11100846'>Neutrophil percentages in bronchoalveolar lavage fluid: Implications for diagnosing bacterial pneumonia in patients with immunocompromise and neutropenia.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38766045&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11100846/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38766045'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11100846/'>Cited By, Google</a>", ,38766045,2024,,medrxiv,,,,medRxiv,Unknown,,False,False,False,
T32CA193193,Tulane University.,2024,"Peyser, Tristen; Perry, Laura M; Mossman, Brenna; Xu, Kenneth; Kim, Seowoo; Moran, James B; Hoerger, Michael",United States,2693-5015, ,<a href='https://pubmed.ncbi.nlm.nih.gov/38766124'>Research square</a>,Res Sq, ,eng, ,11100910,38766124,2024 May 07,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11100910'>Personality and Self-efficacy for Illness Management in Cancer.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38766124&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11100910/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38766124'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11100910/'>Cited By, Google</a>", ,38766124,2024,26935015,res sq,,,,Res Sq,Unknown,,False,False,False,
UL1TR001422,"Department of Surgery, Division of Urology, Endeavor Health (Formerly NorthShore University HealthSystem), Evanston, IL, USA.",2024,"Glaser, Alexander P; Smith, Abigail R; Maglaque, Dacey; Helfand, Brian T; Mohamed, Rowida; An, Hosanna; Marquez, Melissa; Talaty, Pooja; Carolan, Padraig; Geller, Aaron M; Farina, Francesca R; Jensen, Sally E; Griffith, James W",England,1471-2490,1,<a href='https://pubmed.ncbi.nlm.nih.gov/38773430'>BMC urology</a>,BMC Urol,24,eng,110,11107033,38773430,2024 May 21,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11107033'>Enhanced clinical decisions for management of benign prostatic hyperplasia using patient-reported outcomes: protocol for a prospective observational study.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38773430&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11107033/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38773430'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11107033/'>Cited By, Google</a>", ,38773430,2024,14712490,bmc urol,,,,BMC Urol,Unknown,,False,False,False,
R01HD105752,"Department of Anatomy, Biochemistry & Physiology, Institute for Biogenesis Research, John A. Burns School of Medicine, University of Hawaii at Manoa, Honolulu, HI, USA.",2024,"Wu, Hongwen; Nguyen, Hieu; Hashim, Prianka H; Fogelgren, Ben; Duncan, Francesca E; Ward, W Steven",England,1460-2407,8,<a href='https://pubmed.ncbi.nlm.nih.gov/39037927'>Molecular human reproduction</a>,Mol Hum Reprod,30,eng, ,11299862,39037927,2024 Aug 05,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11299862'>Oocyte-specific EXOC5 expression is required for mouse oogenesis and folliculogenesis.</a>,"<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39037927&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11299862/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39037927'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11299862/'>Cited By, Google</a>", ,39037927,2024,14602407,mol hum reprod,,,,Mol Hum Reprod,Unknown,,False,False,False,
