_issn_norm,_journal_label,_publisher,papers,apc_known_share
10968652,Am J Hematol,Wiley,1,1
10969098,J Surg Oncol,Wiley,7,7
10969888,J Mass Spectrom,Wiley,1,1
10969896,J Pathol,Wiley,1,1
10970142,Cancer,Wiley,6,6
10970193,Hum Brain Mapp,Wiley,5,5
10970215,Int J Cancer,Wiley,1,1
10970223,Prenat Diagn,Wiley,1,1
10970258,Stat Med,Wiley,1,1
1098108X,Int J Eat Disord,Wiley,4,4
10982302,Dev Psychobiol,Wiley,1,1
10991166,Int J Geriatr Psychiatry,Wiley,1,1
10991492,NMR Biomed,Wiley,2,2
10991557,Pharmacoepidemiol Drug Saf,Wiley,1,1
10991611,Psychooncology,Wiley,1,1
11791888,Am J Clin Dermatol,Unknown,1,0
1179190X,BioDrugs,Unknown,1,0
11791969,Drugs Aging,Springer Nature,1,1
13265377,Med J Aust,Unknown,1,0
13484214,Hypertens Res,Unknown,1,0
13600443,Addiction,Wiley,1,1
13652036,Aliment Pharmacol Ther,Wiley,2,2
13652141,Br J Haematol,Wiley,1,1
1365277X,J Hum Nutr Diet,Unknown,1,0
13652982,Neurogastroenterol Motil,Wiley,6,6
13653016,Paediatr Perinat Epidemiol,Wiley,2,2
13654632,Int J Dermatol,Unknown,2,0
13989995,Allergy,Wiley,2,2
13990012,Clin Transplant,Wiley,2,2
13993038,Pediatr Allergy Immunol,Wiley,1,1
13993046,Pediatr Transplant,Wiley,1,1
13993062,Transpl Infect Dis,Wiley,1,1
14320428,Diabetologia,Springer Nature,2,2
14320460,Dysphagia,Springer Nature,1,1
14320533,Acta Neuropathol,Springer Nature,6,6
1432069X,Arch Dermatol Res,Springer Nature,7,7
14320738,Arch Toxicol,Springer Nature,1,1
14320843,Cancer Chemother Pharmacol,Unknown,1,0
14320932,Eur Spine J,Springer Nature,1,1
14321777,Mamm Genome,Unknown,1,0
14321998,Pediatr Radiol,Springer Nature,1,1
14322072,Psychopharmacology (Berl),Springer Nature,1,1
14322218,Surg Endosc,Springer Nature,1,1
14333023,Int Urogynecol J,Springer Nature,1,1
14337339,Support Care Cancer,Springer Nature,1,1
