Pub Year,_journal_label,_publisher,_issn_norm,PMID,Authors,_waived_by_issn,_waived_by_title,apc_original,apc_effective,would_uncovered_if_no_waiver_cap_0,would_uncovered_if_no_waiver_cap_2000,would_uncovered_if_no_waiver_cap_3000,would_uncovered_if_no_waiver_cap_6000,avoided_usd_known
2024,J Autism Dev Disord,Springer Nature,15733432,36329299,"Murphy, Ashley N; Pinkerton, Linzy M; Morford, Alexandra E; Risser, Heather J",True,False,3190.0,0.0,3190.0,1190.0,190.0,0.0,3190.0
2024,J Pers,Unknown,14676494,36725776,"Atherton, Olivia E; Willroth, Emily C; Graham, Eileen K; Luo, Jing; Mroczek, Daniel K; Lewis-Thames, Marquita W",True,False,,0.0,,,,,
2024,Alzheimers Dement,Wiley,15525279,37592813,"Gauthreaux, Kathryn; Kukull, Walter A; Nelson, Karin B; Mock, Charles; Chen, Yen-Chi; Chan, Kwun C G; Fardo, David W; Katsumata, Yuriko; Abner, Erin L; Nelson, Peter T",True,False,4200.0,0.0,4200.0,2200.0,1200.0,0.0,4200.0
2024,Alzheimers Dement,Wiley,15525279,37603693,"Echevarria-Cooper, Shiloh L; Ho, Emily H; Gershon, Richard C; Weintraub, Sandra; Kahnt, Thorsten",True,False,4200.0,0.0,4200.0,2200.0,1200.0,0.0,4200.0
2024,J Pers,Unknown,14676494,37614186,"Kerry, Nicholas; White, K C; O'Brien, Mark L; Perry, Laura M; Clifton, Jeremy D W",True,False,,0.0,,,,,
2024,Cancer Causes Control,Springer Nature,15737225,37679534,"Arizpe, Angel; Navarro, Stephanie; Ochoa-Dominguez, Carol Y; Rodriguez, Claudia; Kim, Sue E; Farias, Albert J",True,False,3890.0,0.0,3890.0,1890.0,890.0,0.0,3890.0
2024,Pediatr Res,Springer Nature,15300447,37700161,"Camerota, Marie; McGowan, Elisabeth C; Aschner, Judy; Stroustrup, Annemarie; O'Shea, T Michael; Hofheimer, Julie A; Joseph, Robert M; Musci, Rashelle; Taylor, Genevieve; Carter, Brian S; Check, Jennifer; Dansereau, Lynne M; Gogcu, Semsa; Helderman, Jennifer B; Neal, Charles R; Pastyrnak, Steven L; Smith, Lynne M; Marsit, Carmen J; Lester, Barry M; program collaborators for Environmental influences on Child Health Outcomes",True,False,4390.0,0.0,4390.0,2390.0,1390.0,0.0,4390.0
2024,J Am Geriatr Soc,Wiley,15325415,39007450,"O'Conor, Rachel; Russell, Andrea M; Pack, Allison; Oladejo, Dianne; Filec, Sarah; Rogalski, Emily; Morhardt, Darby; Lindquist, Lee A; Wolf, Michael S",True,False,4760.0,0.0,4760.0,2760.0,1760.0,0.0,4760.0
2024,Arch Dermatol Res,Springer Nature,1432069X,38775812,"Nock, Michael R; Barbieri, John S; Cohen, Jeffrey M",True,False,4790.0,0.0,4790.0,2790.0,1790.0,0.0,4790.0
2024,Prev Sci,Springer Nature,15736695,39023719,"Howe, George W; Dagne, Getachew; Valido, Alberto; Espelage, Dorothy L; Abram, Karen M; Brown, C Hendricks; Gallo, Carlos",True,False,3790.0,0.0,3790.0,1790.0,790.0,0.0,3790.0
2024,AIDS Behav,Springer Nature,15733254,39046610,"Jesus, Maria De; Ware, Deanna; Meanley, Steven; Brennan-Ing, Mark; Okafor, Chukwuemeka N; Shoptaw, Steve; Haberlen, Sabina; Stosor, Valentina; Friedman, M Reuel; Plankey, Michael",True,False,4590.0,0.0,4590.0,2590.0,1590.0,0.0,4590.0
2024,Immunol Rev,Wiley,1600065X,39054597,"Hung, Lisa; Zientara, Brianna; Berin, M Cecilia",True,False,5000.0,0.0,5000.0,3000.0,2000.0,0.0,5000.0
