Journal Title,Online ISSN,Type
Abacus,14676281,Hybrid
Academic Emergency Medicine,15532712,Hybrid
Accounting & Finance,1467629X,Hybrid
Accounting Perspectives,19113838,Hybrid
Acta Anaesthesiologica Scandinavica,13996576,Hybrid
Acta Crystallographica Section A: Foundations and Advances,20532733,Hybrid
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",20525206,Hybrid
Acta Crystallographica Section C: Structural Chemistry,20532296,Hybrid
Acta Crystallographica Section D: Structural Biology,20597983,Hybrid
Acta Crystallographica Section F: Structural Biology Communications,2053230X,Hybrid
Acta Geologica Sinica (English Edition),17556724,Hybrid
Acta Ophthalmologica,17553768,Hybrid
Acta Paediatrica,16512227,Hybrid
Acta Physiologica,17481716,Hybrid
Acta Psychiatrica Scandinavica,16000447,Hybrid
Acta Zoologica,14636395,Hybrid
Addiction,13600443,Hybrid
Advanced Biology,27010198,Hybrid
Advanced Control for Applications: Engineering and Industrial Systems ,25780727,Hybrid
Advanced Energy Materials,16146840,Hybrid
Advanced Engineering Materials,15272648,Hybrid
Advanced Functional Materials,16163028,Hybrid
Advanced Healthcare Materials,21922659,Hybrid
Advanced Materials,15214095,Hybrid
Advanced Materials Technologies,2365709X,Hybrid
Advanced Optical Materials,21951071,Hybrid
Advanced Quantum Technologies,25119044,Hybrid
Advanced Sustainable Systems,23667486,Hybrid
Advanced Synthesis & Catalysis,16154169,Hybrid
Advanced Theory and Simulations,25130390,Hybrid
Advanced Therapeutics,23663987,Hybrid
Advances in Digestive Medicine,23519800,Hybrid
AEM Education and Training,24725390,Hybrid
African Development Review,14678268,Hybrid
African Journal of Ecology,13652028,Hybrid
Aggressive Behavior,10982337,Hybrid
Agribusiness,15206297,Hybrid
Agricultural and Forest Entomology,14619563,Hybrid
Agricultural Economics,15740862,Hybrid
Agronomy Journal,14350645,Hybrid
AIChE Journal,15475905,Hybrid
"Alcohol, Clinical and Experimental Research",29937175,Hybrid
Alimentary Pharmacology & Therapeutics,13652036,Hybrid
Allergy,13989995,Hybrid
American Anthropologist,15481433,Hybrid
American Business Law Journal,17441714,Hybrid
American Ethnologist,15481425,Hybrid
American Journal of Agricultural Economics,14678276,Hybrid
American Journal of Biological Anthropology,26927691,Hybrid
American Journal of Botany,15372197,Hybrid
American Journal of Community Psychology,15732770,Hybrid
American Journal of Hematology,10968652,Hybrid
American Journal of Human Biology,15206300,Hybrid
American Journal of Industrial Medicine,10970274,Hybrid
American Journal of Medical Genetics Part A,15524833,Hybrid
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,1552485X,Hybrid
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,15524876,Hybrid
American Journal of Political Science,15405907,Hybrid
American Journal of Primatology,10982345,Hybrid
American Journal of Reproductive Immunology,16000897,Hybrid
Anaesthesia,13652044,Hybrid
Anaesthesia Reports,26373726,Hybrid
Analyses of Social Issues and Public Policy,15302415,Hybrid
Analysis & Sensing,26292742,Hybrid
Analytic Philosophy,2153960X,Hybrid
"Anatomia, Histologia, Embryologia",14390264,Hybrid
Anatomical Sciences Education,19359780,Hybrid
Andrology,20472927,Hybrid
Angewandte Chemie,15213757,Hybrid
Angewandte Chemie International Edition,15213773,Hybrid
Animal Conservation,14691795,Hybrid
Animal Genetics,13652052,Hybrid
Animal Science Journal,17400929,Hybrid
Annalen der Physik,15213889,Hybrid
Annals of Anthropological Practice,21539588,Hybrid
Annals of Applied Biology,17447348,Hybrid
Annals of Human Genetics,14691809,Hybrid
Annals of Neurology,15318249,Hybrid
Annals of Public and Cooperative Economics,14678292,Hybrid
Annals of the New York Academy of Sciences,17496632,Hybrid
Anthropology & Education Quarterly,15481492,Hybrid
Anthropology and Humanism,15481409,Hybrid
Anthropology of Consciousness,15563537,Hybrid
Anthropology of Work Review,15481417,Hybrid
Anthropology Today,14678322,Hybrid
Antipode,14678330,Hybrid
ANZ Journal of Surgery,14452197,Hybrid
AORN Journal,18780369,Hybrid
APMIS,16000463,Hybrid
Applied Cognitive Psychology,10990720,Hybrid
Applied Economic Perspectives and Policy,20405804,Hybrid
Applied Organometallic Chemistry,10990739,Hybrid
Applied Psychology,14640597,Hybrid
Applied Psychology: Health and Well-Being,17580854,Hybrid
Applied Research,27024288,Hybrid
Applied Stochastic Models in Business and Industry,15264025,Hybrid
Applied Vegetation Science,1654109X,Hybrid
Aquatic Conservation: Marine and Freshwater Ecosystems,10990755,Hybrid
Arabian Archaeology and Epigraphy,16000471,Hybrid
Archaeological Papers of the American Anthropological Association,15518248,Hybrid
Archaeological Prospection,10990763,Hybrid
Archaeology in Oceania,18344453,Hybrid
Archaeometry,14754754,Hybrid
Archiv der Pharmazie,15214184,Hybrid
Archives of Insect Biochemistry and Physiology,15206327,Hybrid
Area,14754762,Hybrid
Arthritis & Rheumatology,23265205,Hybrid
Arthritis Care & Research,21514658,Hybrid
Artificial Organs,15251594,Hybrid
Asia Pacific Journal of Human Resources,17447941,Hybrid
Asia Pacific Viewpoint,14678373,Hybrid
Asian Economic Journal,14678381,Hybrid
Asian Economic Policy Review,17483131,Hybrid
Asian Journal of Control,19346093,Hybrid
Asian Journal of Endoscopic Surgery,17585910,Hybrid
Asian Journal of Organic Chemistry,21935815,Hybrid
