S/N,Journal ID,Journal Title,eISSN,Journal Imprint,Main Discipline,Publishing Model,OA License,URL
1,13205,3 Biotech,2190-5738,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/13205
2,10288,4OR,1614-2411,Springer,Business and Management,Springer Hybrid,CC BY,https://springer.com/10288
3,12249,AAPS PharmSciTech,1530-9932,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/12249
4,261,Abdominal Radiology,2366-0058,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/261
5,12188,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,1865-8784,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/12188
6,42994,aBIOTECH,2662-1738,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/42994
7,40596,Academic Psychiatry,1545-7230,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/40596
8,769,Accreditation and Quality Assurance,1432-0517,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/769
9,40857,Acoustics Australia,1839-2571,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/40857
10,12136,Acta Analytica,1874-6349,Springer,Philosophy,Springer Hybrid,CC BY,https://springer.com/12136
11,10440,Acta Applicandae Mathematicae,1572-9036,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10440
12,10441,Acta Biotheoretica,1572-8358,Springer,Philosophy,Springer Hybrid,CC BY,https://springer.com/10441
13,592,Acta Diabetologica,1432-5233,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/592
14,10211,Acta Ethologica,1437-9546,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/10211
15,11631,Acta Geochimica,2365-7499,"Science Press, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/11631
16,40328,Acta Geodaetica et Geophysica,2213-5820,"Akadémiai Kiadó, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/40328
17,11600,Acta Geophysica,1895-7455,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/11600
18,11440,Acta Geotechnica,1861-1133,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/11440
19,236,Acta Informatica,1432-0525,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/236
20,10474,Acta Mathematica Hungarica,1588-2632,"Akadémiai Kiadó, co-published with Springer",Mathematics,Springer Hybrid,CC BY,https://springer.com/10474
21,10473,Acta Mathematica Scientia,1572-9087,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10473
22,10114,"Acta Mathematica Sinica, English Series",1439-7617,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10114
23,40306,Acta Mathematica Vietnamica,2315-4144,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/40306
24,10255,"Acta Mathematicae Applicatae Sinica, English Series",1618-3932,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/10255
25,707,Acta Mechanica,1619-6937,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/707
26,10409,Acta Mechanica Sinica,1614-3116,"The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/10409
