Order (# NIH papers 01-07/2025),Journal,ISSN1,ISSN2,ISSN3,ISSN4,Publisher,Publications acknowledging NIH funding (01-07/2025),Journal OA status,Publisher type,APC 2025 (USD),APC category,Total APCs (based on 01-07/2025),APCs covered by $2k cap,% covered by $2k cap,APCs not covered by $2k cap,APCs covered by $3k cap,% covered by $3k cap,APCs not covered by $3k cap,APCs covered by $6 cap,% covered by $6 cap,APCs not covered by $6 cap
1,Nature Communications,2041-1723,,,,Springer Nature,1300,gold,for profit,6990,"$6,001-$7,000",9087000,2600000,0.286123033,6487000,3900000,0.429184549,5187000,7800000,0.858369099,1287000
2,Scientific Reports,2045-2322,,,,Springer Nature,812,gold,for profit,2690,"$2,001-$3,000",2184280,1624000,0.743494424,560280,2184280,1,0,2184280,1,0
3,PNAS,0027-8424,1091-6490,,,Proceedings of the National Academy of Sciences,638,hybrid,not for profit,5995,"$5,001-$6,000",3824810,1276000,0.333611343,2548810,1914000,0.500417014,1910810,3824810,1,0
4,eLife,2050-084X,,,,eLife,578,gold,not for profit,3000,"$2,001-$3,000",1734000,1156000,0.666666667,578000,1734000,1,0,1734000,1,0
5,PLOS ONE,1932-6203,,,,Public Library of Science (PLoS),570,gold,not for profit,2382,"$2,001-$3,000",1357740,1140000,0.839630563,217740,1357740,1,0,1357740,1,0
6,Science Advances,2375-2548,,,,American Association for the Advancement of Science (AAAS),433,gold,not for profit,5450,"$5,001-$6,000",2359850,866000,0.366972477,1493850,1299000,0.550458716,1060850,2359850,1,0
7,JAMA Network Open,2574-3805,,,,American Medical Association (AMA),415,gold,not for profit,4000,Set,1660000,830000,0.5,830000,1245000,0.75,415000,1660000,1,0
8,International Journal of Molecular Sciences,1661-6596,1422-0067,,,MDPI,402,gold,for profit,3625,"$3,001-$4,000",1457250,804000,0.551724138,653250,1206000,0.827586207,251250,1457250,1,0
9,Alzheimer's & Dementia,1552-5260,1552-5279,,,Wiley,348,gold,for profit,4200,"$4,001-$5,000",1461600,696000,0.476190476,765600,1044000,0.714285714,417600,1461600,1,0
10,Journal of the American Chemical Society,0002-7863,1520-5126,,,American Chemical Society (ACS),330,hybrid,not for profit,4500,"$4,001-$5,000",1485000,660000,0.444444444,825000,990000,0.666666667,495000,1485000,1,0
11,Cell Reports,2639-1856,2211-1247,,,Elsevier,313,gold,for profit,5620,"$5,001-$6,000",1759060,626000,0.355871886,1133060,939000,0.533807829,820060,1759060,1,0
12,Journal of Biological Chemistry,0021-9258,1083-351X,,,Elsevier,299,gold,for profit,3430,"$3,001-$4,000",1025570,598000,0.583090379,427570,897000,0.874635569,128570,1025570,1,0
13,Nature,0028-0836,1476-4687,,,Springer Nature,283,hybrid,for profit,12690,"$12,001-$13,000",3591270,566000,0.157604413,3025270,849000,0.236406619,2742270,1698000,0.472813239,1893270
14,Frontiers in Immunology,1664-3224,,,,Frontiers,264,gold,for profit,3938,"$3,001-$4,000",1039632,528000,0.507872016,511632,792000,0.761808024,247632,1039632,1,0
15,Cancers,2072-6694,,,,MDPI,243,gold,for profit,3625,"$3,001-$4,000",880875,486000,0.551724138,394875,729000,0.827586207,151875,880875,1,0
16,Journal of Clinical Investigation,0021-9738,1558-8238,,,American Society for Clinical Investigation,235,gold,not for profit,5700,"$5,001-$6,000",1339500,470000,0.350877193,869500,705000,0.526315789,634500,1339500,1,0
17,iScience,2589-0042,,,,Elsevier,231,gold,for profit,3240,"$3,001-$4,000",748440,462000,0.617283951,286440,693000,0.925925926,55440,748440,1,0
18,Cells,2073-4409,,,,MDPI,203,gold,for profit,3375,"$3,001-$4,000",685125,406000,0.592592593,279125,609000,0.888888889,76125,685125,1,0
19,Nucleic Acids Research,0305-1048,1362-4962,,,Oxford University Press (OUP),198,gold,not for profit,3992,"$3,001-$4,000",790416,396000,0.501002004,394416,594000,0.751503006,196416,790416,1,0
20,mBio,2161-2129,2150-7511,,,American Society for Microbiology,186,gold,not for profit,4300,"$4,001-$5,000",799800,372000,0.465116279,427800,558000,0.697674419,241800,799800,1,0
21,Communications Biology,2399-3642,,,,Springer Nature,183,gold,for profit,4190,"$4,001-$5,000",766770,366000,0.477326969,400770,549000,0.715990453,217770,766770,1,0
22,JCI Insight,2379-3708,,,,American Society for Clinical Investigation,178,gold,not for profit,4900,"$4,001-$5,000",872200,356000,0.408163265,516200,534000,0.612244898,338200,872200,1,0
23,Journal of Neuroscience,0270-6474,1529-2401,,,Society for Neuroscience,167,hybrid,not for profit,6270,"$6,001-$7,000",1047090,334000,0.318979266,713090,501000,0.4784689,546090,1002000,0.956937799,45090
